symbol,horizon_min,signed_trade_obs,effective_spread_bps_median,realized_spread_provider_bps_median,adverse_selection_provider_bps_median
AAPL,1,81082,1.1163621482662245,0.7155507057112327,1.9767729182092224
AAPL,5,81082,1.1163621482662245,0.7329532834796153,2.8728408805231167
AAPL,10,81082,1.1163621482662245,0.4451715598296806,3.443987377087692
ADI,1,65914,6.135615391639473,2.555852439234283,4.636564662243934
ADI,5,65914,6.135615391639473,2.244265900624416,5.858843715343323
ADI,10,65914,6.135615391639473,2.4090658247166132,5.992509462109178
AMAT,1,70162,5.5058876167650235,2.5018161200633173,4.505603844777849
AMAT,5,70162,5.5058876167650235,2.5599999999976717,5.387412695052675
AMAT,10,70162,5.5058876167650235,2.578759646395423,5.83945093482664
AMD,1,80021,2.389200812329498,1.2594458887802522,3.4771270254405504
AMD,5,80021,2.389200812329498,1.4903314803056569,4.181600959527278
AMD,10,80021,2.389200812329498,1.3621833424212393,4.971344184337141
ANET,1,71204,5.389957393190583,2.695951359759768,4.40383133325906
ANET,5,71204,5.389957393190583,3.078582980832123,5.347068948022914
ANET,10,71204,5.389957393190583,3.5179061422649243,5.237521604777811
APH,1,74880,3.7174599109134143,2.332270854386435,2.869337541696529
APH,5,74880,3.7174599109134143,2.651113467657772,3.498134328361656
APH,10,74880,3.7174599109134143,2.507998354182858,3.6857357426650084
AVGO,1,77742,3.5962583824538807,1.6875263675979593,3.962870947579807
AVGO,5,77742,3.5962583824538807,1.7721249816167424,4.91679593963804
AVGO,10,77742,3.5962583824538807,1.765354909892918,5.439611249119361
CSCO,1,74101,1.461347362266682,1.4942099364989656,3.614857182513209e-12
CSCO,5,74101,1.461347362266682,2.272339942056494,0.0
CSCO,10,74101,1.461347362266682,2.305321653227918,1.2126357750614556
IBM,1,71272,3.9050749127385735,1.9062748212886138,3.0752934342457214
IBM,5,71272,3.9050749127385735,1.9578411538192724,4.08855816996229
IBM,10,71272,3.9050749127385735,1.7573765882314891,4.525325661828436
INTC,1,74807,2.655916528338231,2.9420462554963356,0.0
INTC,5,74807,2.655916528338231,3.337436739158223,0.0
INTC,10,74807,2.655916528338231,3.352579318573781,0.0
KLAC,1,68627,10.707475381828244,4.307714232825195,6.7721677754411225
KLAC,5,68627,10.707475381828244,3.7099580390948166,9.099428229955391
KLAC,10,68627,10.707475381828244,3.9191755442418925,9.558418732570708
LRCX,1,71431,3.2980988125238575,2.2842001873049345,2.814258911817328
LRCX,5,71431,3.2980988125238575,2.8684116170637615,3.0420564301440125
LRCX,10,71431,3.2980988125238575,2.8051948051944193,3.2109171182012477
MSFT,1,81355,2.156587885855723,0.6566674625444535,3.1883746235118626
MSFT,5,81355,2.156587885855723,0.7927594635653753,4.192687071075774
MSFT,10,81355,2.156587885855723,0.7926312499027186,4.6512529330055115
MU,1,76468,3.0474968949455645,1.832700615262607,3.1039031582186407
MU,5,76468,3.0474968949455645,1.8516570226183486,4.078459361975202
MU,10,76468,3.0474968949455645,1.8258172965945698,4.374637897547769
NVDA,1,83158,0.6517649663510785,0.5633961520037694,1.1178492580297155
NVDA,5,83158,0.6517649663510785,0.5474052988859069,1.6410031999547474
NVDA,10,83158,0.6517649663510785,0.543951261963341,1.7264199804356082
ORCL,1,73904,3.6386949389661813,1.8670861593187282,3.8759689922485427
ORCL,5,73904,3.6386949389661813,1.9662203346511482,5.019954318416843
ORCL,10,73904,3.6386949389661813,1.8002745541241336,5.45045909841078
PLTR,1,82593,1.5869237483147054,1.1520727866717937,2.282421089768055
PLTR,5,82593,1.5869237483147054,1.098026318413962,3.285996729786453
PLTR,10,82593,1.5869237483147054,1.0833942742602751,3.305348053154507
QCOM,1,72742,3.4129692832769027,1.9967134840198277,2.722384809090288
QCOM,5,72742,3.4129692832769027,2.164580251814969,3.673229503380206
QCOM,10,72742,3.4129692832769027,1.9557989438704975,4.214963119072868
SNDK,1,69059,11.36847376987387,4.829327810074933,8.439263697725922
SNDK,5,69059,11.36847376987387,5.004467966147362,10.000850344576367
SNDK,10,69059,11.36847376987387,4.302925989675178,11.127183709805578
TXN,1,71136,4.549073141058792,2.025574028255189,3.8875930245469936
TXN,5,71136,4.549073141058792,2.2214582286531095,4.46441027930378
TXN,10,71136,4.549073141058792,2.435637218244792,4.777415852335012
XLK,1,80208,0.7126821793814564,0.6797865470274802,0.9247913439521795
XLK,5,80208,0.7126821793814564,0.6951856364154709,1.2642891042840843
XLK,10,80208,0.7126821793814564,0.693204861239165,1.3194062678165874
