symbol,minutes,median_spread_bps,p90_spread_bps,median_halfspread_bps,mean_halfspread_bps,median_volume,median_trade_count
XLK,97400,1.0696903246520673,9.511702978777546,0.5348451623260336,1.7781107719310558,16103.0,342.0
NVDA,95743,1.4857001361892355,7.67566050123879,0.7428500680946177,2.247582047135272,289739.6525559974,3457.0
CSCO,94285,2.316423442204774,6.748761615360406,1.158211721102387,2.0040137267907294,22915.819504,301.0
AAPL,89036,2.546769614412299,21.819013135667227,1.2733848072061495,4.340114398092473,62436.50699249999,1194.0
PLTR,90375,4.272819526785905,21.954800579161184,2.1364097633929524,4.712565211370434,93897.57191099999,1245.0
INTC,95223,4.314994606255883,8.982304931887834,2.1574973031279416,3.0216341453255615,142208.0,683.0
MSFT,84612,5.862155598358026,34.48578997639312,2.931077799179013,6.5133653119523,31149.0,992.0
AMD,86676,6.831767719897378,33.15567955241462,3.415883859948689,6.559085269000808,69868.0,931.0
APH,83767,8.251203300481633,36.14042895320186,4.125601650240816,7.354454125648066,10533.0,192.0
MU,83149,8.963859348897806,32.8735810187157,4.481929674448903,7.148042110432304,39431.0,636.0
ORCL,78274,9.392492434800328,35.47015607824404,4.696246217400164,7.659852353329838,29401.0,607.0
LRCX,79947,9.446167115016932,37.50001503772546,4.723083557508466,7.686775933206419,13180.449188999999,272.0
QCOM,78211,10.114291493881236,32.2140998637102,5.057145746940618,7.597746099220261,10909.0,262.0
AVGO,81264,10.160862190033328,38.71410392135678,5.080431095016664,8.283821027868328,30074.265084,740.0
IBM,74934,11.112794880511773,35.23764886478881,5.556397440255886,8.230033334031853,5576.0,190.0
ANET,76955,14.752889107449604,47.29683858074584,7.376444553724802,10.505766741174781,11351.0,220.0
TXN,75598,15.065655446027396,41.26766790850224,7.532827723013698,9.847897471731015,7682.241,187.0
AMAT,73824,18.564585215170425,50.14228038939055,9.282292607585212,11.895512855548455,8285.265564,209.0
ADI,69042,23.044319202843056,52.502506143404,11.522159601421528,13.449664527703016,3930.0,121.0
SNDK,73310,34.206588914549776,76.24575637381905,17.103294457274888,19.698293049858655,11535.0,206.0
KLAC,70671,44.18274959339631,77.57136894237472,22.091374796698155,23.1097070422207,1017.0,76.0
