subset,k,betas,sum_beta,train_adf_p,train_half_life_minutes,train_std_bps,train_avg_oneway_cost_bps,score
NVDA AVGO AMD ORCL,4,NVDA:0.2351 AVGO:0.0723 AMD:0.0766 ORCL:0.0626,0.44664525088435253,0.0879695659679795,1251.244626602867,121.56137918418813,3.828087239850159,0.7901536240664161
NVDA MSFT AVGO AMD ORCL,5,NVDA:0.2301 MSFT:0.0563 AVGO:0.0702 AMD:0.0746 ORCL:0.0604,0.49160657328985474,0.10731288348548362,1285.822632031992,121.2139582349732,4.136404710670474,0.8329522937148892
NVDA AVGO AMD PLTR ORCL,5,NVDA:0.2063 AVGO:0.0636 AMD:0.0672 PLTR:0.0789 ORCL:0.0545,0.47043380063533385,0.12501604868492588,1341.9804955639843,120.2326751667576,3.9261086081740917,0.8745284686303998
NVDA AAPL AVGO AMD ORCL,5,NVDA:0.2275 AAPL:0.0781 AVGO:0.0699 AMD:0.0736 ORCL:0.0609,0.5099949146513548,0.13924421506946738,1314.2398355189262,122.25989324223463,4.074276212487738,0.8778496570786852
AVGO AMD PLTR ORCL,4,AVGO:0.0899 AMD:0.0967 PLTR:0.1079 ORCL:0.0697,0.3641987790799023,0.15432836898668184,1583.3639482358626,142.63530557432802,4.144107043106072,1.0288924839667346
NVDA AMD ORCL,3,NVDA:0.2561 AMD:0.0833 ORCL:0.0686,0.4080883423411229,0.1432373506936555,1725.7303873514709,146.33729802786453,3.3567919937078528,1.073238384243548
NVDA AVGO PLTR ORCL,4,NVDA:0.2312 AVGO:0.0707 PLTR:0.0869 ORCL:0.0594,0.4480941096694407,0.22536642313522115,1594.4970466092184,131.71321439355125,3.6733426961584668,1.0960818003629997
AAPL AVGO AMD PLTR ORCL,5,AAPL:0.0853 AVGO:0.0866 AMD:0.0928 PLTR:0.1037 ORCL:0.0677,0.43617834469268935,0.2328360234772936,1656.879763811172,142.95144942081026,4.401544509817893,1.1493067955792373
NVDA MSFT AMD ORCL,4,NVDA:0.2502 MSFT:0.0599 AMD:0.0810 ORCL:0.0661,0.4571724175225618,0.17013583013371586,1820.5855942005262,147.44187286925253,3.699931221883019,1.1544272516716394
MSFT AVGO AMD PLTR ORCL,5,MSFT:0.0606 AVGO:0.0873 AMD:0.0942 PLTR:0.1047 ORCL:0.0673,0.4141340375718279,0.23741627343226585,1673.9593758267874,143.88624346961316,4.468267628894803,1.1637613139235556
AVGO AMD ORCL,3,AVGO:0.1079 AMD:0.1162 ORCL:0.0845,0.3084994289134137,0.13311162030900076,1974.5914806949538,172.5299268755876,4.046705452420839,1.2013414697048945
NVDA AVGO ORCL,3,NVDA:0.2673 AVGO:0.0816 ORCL:0.0692,0.41803162539437067,0.2180449157040406,1843.1508427572967,148.6672412603541,3.5243698037771303,1.2101077331582315
