stock,spread_type,beta,policy,wait_min,latency_min,entry_z,exit_z,min_edge_bps,val_trades,val_gross_bps,val_cost_bps,val_net_bps,test_trades,test_gross_bps,test_cost_bps,test_net_bps,test_avg_net_per_trade_bps
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,1.0,0.0,0.0,13,-229.25182591491466,89.2875097253625,-318.53933564027716,42,-326.2044634683888,445.4325204542056,-771.6369839225944,-18.372309141014153
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,1.0,0.0,25.0,13,-229.25182591491466,89.2875097253625,-318.53933564027716,42,-326.2044634683888,445.4325204542056,-771.6369839225944,-18.372309141014153
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,1.0,0.5,0.0,17,-240.1413801305415,131.67578823767883,-371.81716836822034,59,-228.5277791798501,469.7200677420533,-698.2478469219034,-11.834709269862769
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,1.0,0.5,25.0,17,-240.1413801305415,131.67578823767883,-371.81716836822034,59,-228.5277791798501,469.7200677420533,-698.2478469219034,-11.834709269862769
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,1.5,0.0,0.0,8,-136.8906499102717,62.34268229523036,-199.23333220550205,36,-207.85813711395483,316.70512654489073,-524.5632636588456,-14.571201768301266
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,1.5,0.0,25.0,8,-136.8906499102717,62.34268229523036,-199.23333220550205,36,-207.85813711395483,316.70512654489073,-524.5632636588456,-14.571201768301266
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,1.5,0.5,0.0,9,-42.7285985479368,66.15035703779455,-108.87895558573135,40,-89.22624470490113,304.90394713843716,-394.1301918433383,-9.853254796083458
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,1.5,0.5,25.0,9,-42.7285985479368,66.15035703779455,-108.87895558573135,40,-89.22624470490113,304.90394713843716,-394.1301918433383,-9.853254796083458
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,2.0,0.0,0.0,5,-62.91690381926827,38.406196804133884,-101.32310062340215,24,-361.6942464701753,240.8246565294108,-602.5189029995861,-25.10495429164942
AAPL,cum_residual_return,0.12690653778507266,taker,1,0,2.0,0.0,25.0,5,-62.91690381926827,38.406196804133884,-101.32310062340215,24,-361.6942464701753,240.8246565294108,-602.5189029995861,-25.10495429164942
