strategy,candidate_set,spread_fraction,participation_rate,execution_horizon_min,markowitz_gamma,active_signals,gross_leverage,largest_weight,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_max_drawdown_bps,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_max_drawdown_bps,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_max_drawdown_bps,validation_score
liquid_validation_sf0.25_pr0.001_h1_g0,liquid_validation,0.25,0.001,1,0.0,3,0.9999999999999999,0.34999999999584447,5385.3363577902655,4641.713073903575,743.6232838866899,972.0,-1687.0644285203234,816.5600715049237,290.4220054913316,526.1380660135923,90.0,-722.7424940097761,15.455022332065667,727.7159237658245,-712.2609014337592,189.0,-1393.7949667553034,552.9742879087429
liquid_validation_sf0.25_pr0.001_h5_g0,liquid_validation,0.25,0.001,5,0.0,3,1.0000000000000002,0.34999999999760256,5107.506803223332,4891.094358659278,216.41244456405315,2106.0,-1579.5019346024378,816.4508467428458,295.4626230605129,520.9882236823328,253.0,-573.89833828743,-24.346851198010466,727.9933809916193,-752.3402321896299,462.0,-1311.977715339544,445.5385360128344
ou_filtered_sf0.25_pr0.001_h1_g0,ou_filtered,0.25,0.001,1,0.0,1,0.3499999999999838,0.34999999999997417,4160.43171960724,3580.0109149536465,580.4208046535933,1013.0,-887.3192915356769,433.5191430969781,180.48823427861558,253.03090881836255,75.0,-381.4042652438553,151.9976134538139,492.85489736810524,-340.8572839142914,190.0,-583.0765435733713,312.8308452190591
ou_filtered_sf0.25_pr0.005_h1_g0,ou_filtered,0.25,0.005,1,0.0,1,0.34999999999999204,0.3499999999999653,4160.431719607154,3721.606838198807,438.82488140834647,1013.0,-924.2573584692021,433.51914309697065,188.01265532063024,245.5064877763405,75.0,-382.0883035203955,151.99761345380443,518.50633273861,-366.5087192848056,190.0,-602.9136535932289,269.3944146583165
liquid_validation_sf0.25_pr0.005_h1_g0,liquid_validation,0.25,0.005,1,0.0,1,0.3500000000103148,0.3499999999992307,4160.431719596987,3721.606838213561,438.8248813834262,2106.0,-924.2573584846932,433.5191431050517,188.01265532284268,245.50648778220895,253.0,-382.0883035207909,151.99761345081393,518.5063327427234,-366.5087192919097,462.0,-602.9136536062291,269.39441465776525
liquid_validation_sf0.25_pr0.001_h1_g0.001,liquid_validation,0.25,0.001,1,0.001,3,0.38347299237817134,0.1828894496427902,2496.097240343778,2140.164033679276,355.9332066645018,1260.0,-643.3702921269705,352.9106011283473,121.48440439965117,231.42619672869617,136.0,-227.69699953222786,14.840649305858273,304.44361860495076,-289.60296929909265,247.0,-530.096888074071,268.7958782683935
liquid_validation_sf0.25_pr0.010_h1_g0,liquid_validation,0.25,0.01,1,0.0,1,0.35,0.35,4160.431719607537,3827.7074067142976,332.72431289324,414.0,-951.9357676471527,433.5191430970084,193.65084978280365,239.8682933142047,22.0,-382.60086665335257,151.99761345382694,537.7274502232838,-385.7298367694567,75.0,-617.7779844480573,236.84665571770398
ou_filtered_sf0.25_pr0.010_h1_g0,ou_filtered,0.25,0.01,1,0.0,1,0.3500000000001701,0.349999999999904,4160.431719606684,3827.7074067138565,332.7243128928276,1013.0,-951.9357676471197,433.5191430969434,193.65084978279958,239.86829331414384,75.0,-382.60086665329106,151.99761345371033,537.7274502232592,-385.7298367695489,190.0,-617.7779844480576,236.84665571755252
ou_filtered_sf0.25_pr0.001_h5_g0,ou_filtered,0.25,0.001,5,0.0,1,0.35,0.35,4160.431719607537,3950.176269180756,210.2554504267806,414.0,-983.8841665514459,433.5191430970084,200.15885696701167,233.36028612999672,22.0,-383.19250367009874,151.99761345382694,559.9138383512656,-407.9162248974383,75.0,-636.1654262396596,199.27770515432155
liquid_validation_sf0.25_pr0.005_h5_g0,liquid_validation,0.25,0.005,5,0.0,1,0.35000000000099146,0.3499999999999148,4160.431719606905,4091.7721924274892,68.65952717941492,2106.0,-1020.8222334864183,433.5191430978,207.68327800925934,225.8358650885408,253.0,-383.87654194662036,151.99761345341955,585.5652737221953,-433.56766026877574,462.0,-661.4748424727687,155.84127459360747
ou_filtered_sf0.25_pr0.005_h5_g0,ou_filtered,0.25,0.005,5,0.0,1,0.35000000000028314,0.34999999999999126,4160.431719607751,4091.7721924265234,68.6595271812289,1013.0,-1020.8222334852044,433.519143097057,207.68327800907468,225.83586508798228,75.0,-383.8765419466836,151.99761345374003,585.5652737218913,-433.56766026815126,190.0,-661.4748424720593,155.84127459349907
ou_filtered_sf0.25_pr0.001_h1_g0.001,ou_filtered,0.25,0.001,1,0.001,1,0.1700814450731433,0.17008144507312042,2021.7492542825883,1739.695513694043,282.05374058854545,1013.0,-431.1901352733157,210.6673209280048,87.7077134423025,122.95960748570235,75.0,-185.34225311352128,73.86278212540061,239.5013518735424,-165.63856974814183,190.0,-283.34428891202856,152.01920633801933
liquid_validation_sf0.25_pr0.005_h1_g0.001,liquid_validation,0.25,0.005,1,0.001,1,0.1301405100703617,0.1301405100698089,1546.9734460003833,1383.8051777227126,163.16826827767105,1451.0,-343.6666401923595,161.19543545089726,69.90875103731165,91.2866844135856,170.0,-142.07190489112466,56.51727698358304,192.79622462039237,-136.27894763680933,326.0,-224.1814011626249,100.16893295291287
ou_filtered_sf0.25_pr0.005_h1_g0.001,ou_filtered,0.25,0.005,1,0.001,1,0.13014050470450067,0.13014050470450067,1546.9733822238243,1383.8051206712998,163.16826155252443,414.0,-343.6666260229747,161.19542880487805,69.90874815503437,91.2866806498437,22.0,-142.07189903381447,56.51727465360183,192.79621667167942,-136.2789420180776,75.0,-224.18139191960879,100.16892882346019
liquid_validation_sf0.25_pr0.010_h1_g0.001,liquid_validation,0.25,0.01,1,0.001,1,0.0995396173446976,0.09953961734245528,1183.2222324299612,1088.5958016141385,94.62643081582262,1239.0,-270.72949156308107,123.29237032845352,55.07408995885699,68.21828036959654,130.0,-108.8112681761788,43.22795508567016,152.9290989432491,-109.70114385757893,240.0,-175.69538335873247,67.35892994037359
ou_filtered_sf0.25_pr0.010_h1_g0.001,ou_filtered,0.25,0.01,1,0.001,1,0.09953961725855685,0.09953961725795447,1183.2222314223204,1088.5958006864448,94.62643073587542,1013.0,-270.7294913312419,123.29237022261361,55.07408991170392,68.2182803109097,75.0,-108.81126808363162,43.22795504931117,152.9290988126239,-109.70114376331271,190.0,-175.69538320709896,67.35892988256704
