pair,stock,beta,entry_z,exit_z,max_holding_minutes,stop_z,sample,gross_bps,cost_bps,net_bps,num_trades,win_rate,avg_holding_minutes
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,-1,,test,589.7307222369676,1686.6707481218343,-1096.9400258848668,34,0.35294117647058826,196.8235294117647
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,-1,,train,163.98704303953178,440.98799326360484,-277.00095022407305,22,0.4090909090909091,265.8181818181818
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,-1,,validation,961.1143676827754,955.8295753468059,5.284792335969508,23,0.4782608695652174,225.1304347826087
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,30,,test,1324.664990806831,2651.9642254902365,-1327.2992346834053,221,0.40271493212669685,27.828054298642535
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,30,,train,326.4031559561454,1061.2719172710597,-734.8687613149143,169,0.40828402366863903,28.497041420118343
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,30,,validation,715.6633236403774,1499.872534548475,-784.2092109080976,137,0.45985401459854014,27.927007299270073
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,60,,test,1312.0205384073633,2427.6493224928954,-1115.628784085532,127,0.3779527559055118,50.59842519685039
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,60,,train,266.48046493398687,709.1558580684184,-442.6753931344316,93,0.40860215053763443,54.01075268817204
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,60,,validation,698.8031091722174,1098.4237150892272,-399.6206059170097,78,0.4358974358974359,51.85897435897436
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,120,,test,795.1340283127598,2067.269938931832,-1272.1359106190719,77,0.4025974025974026,86.18181818181819
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,120,,train,237.01465509785444,580.2105295971935,-343.1958744993391,56,0.4107142857142857,93.41071428571429
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,120,,validation,852.085918747904,1019.874266220739,-167.78834747283494,48,0.5208333333333334,90.35416666666667
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,240,,test,739.9043318672877,1786.7598060009675,-1046.8554741336795,49,0.3877551020408163,140.91836734693877
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,240,,train,232.79947642089192,482.6043211270447,-249.8048447061528,36,0.4722222222222222,154.02777777777777
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.0,240,,validation,923.5610053408928,983.3132288803315,-59.75222353943851,32,0.5625,149.625
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,-1,,test,1277.902545456734,2112.958695479457,-835.0561500227232,40,0.35,171.8
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,-1,,train,389.9451336371444,608.5822333693628,-218.63709973221845,24,0.4166666666666667,235.54166666666666
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,-1,,validation,887.0175724999883,942.810046722153,-55.792474222164635,23,0.5217391304347826,199.0
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,30,,test,1924.273835508148,3252.590457630357,-1328.3166221222089,225,0.39555555555555555,27.23111111111111
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,30,,train,308.555281149441,1056.664417725703,-748.1091365762621,169,0.40828402366863903,28.28994082840237
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,30,,validation,716.4176920956752,1497.8222535648563,-781.4045614691812,137,0.46715328467153283,27.62773722627737
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,60,,test,1887.1720484242542,3039.881294230473,-1152.7092458062186,132,0.3712121212121212,48.67424242424242
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,60,,train,366.0939518687775,839.3145113873912,-473.22055951861387,93,0.40860215053763443,52.82795698924731
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,60,,validation,645.9076498437977,1094.2507843031624,-448.34313445936476,78,0.44871794871794873,50.84615384615385
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,120,,test,1361.8561406289114,2671.6957201747914,-1309.83957954588,81,0.38271604938271603,81.76543209876543
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,120,,train,404.4426690089283,733.0708799597699,-328.62821095084155,57,0.43859649122807015,89.0
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,120,,validation,791.2026197463937,1021.5243799263395,-230.32176017994578,48,0.5416666666666666,86.89583333333333
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,240,,test,1417.0865617236982,2390.9285955815635,-973.8420338578651,54,0.37037037037037035,124.5925925925926
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,240,,train,354.86081169178425,647.5516181668211,-292.6908064750368,37,0.5135135135135135,144.83783783783784
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.25,240,,validation,797.3905437186551,971.0725648681029,-173.68202114944776,32,0.59375,137.53125
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,-1,,test,1590.8603747231182,2360.8018136275987,-769.9414389044806,49,0.4489795918367347,133.0612244897959
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,-1,,train,324.8653693676535,603.5351429812677,-278.6697736136141,26,0.46153846153846156,207.46153846153845
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,-1,,validation,754.9557503524659,938.9196314947316,-183.96388114226562,25,0.56,168.04
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,30,,test,1960.5968571565181,3271.612343007441,-1311.0154858509225,226,0.40707964601769914,26.924778761061948
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,30,,train,277.5348006120699,1053.1243567626723,-775.5895561506023,170,0.4117647058823529,27.91764705882353
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,30,,validation,710.503927313104,1490.9522591037937,-780.4483317906898,137,0.46715328467153283,27.27007299270073
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,60,,test,1925.6755774499277,3061.26311028594,-1135.5875328360125,136,0.38235294117647056,46.25735294117647
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,60,,train,325.3709171183645,831.3497113564364,-505.97879423807194,94,0.4148936170212766,51.787234042553195
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,60,,validation,632.823631349812,1094.1769376480022,-461.3533062981901,78,0.46153846153846156,49.51282051282051
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,120,,test,1442.9214988466424,2695.76075267582,-1252.8392538291778,85,0.4117647058823529,74.91764705882353
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,120,,train,348.76222964384743,727.6401941152479,-378.8779644714005,58,0.4482758620689655,85.62068965517241
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,120,,validation,764.3726833182798,1010.231569721582,-245.8588864033021,50,0.58,80.44
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,240,,test,1563.3400134907026,2419.994270766895,-856.6542572761927,60,0.43333333333333335,107.36666666666666
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,240,,train,323.42148894611654,639.6351111880806,-316.21362224196406,39,0.5641025641025641,133.51282051282053
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.5,240,,validation,735.3751255757483,957.1170577866651,-221.74193221091684,34,0.6176470588235294,123.11764705882354
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,-1,,test,2041.7826015994315,2840.873360398485,-799.0907587990539,69,0.5217391304347826,88.68115942028986
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,-1,,train,481.7599190749237,685.5925595125025,-203.8326404375788,37,0.6486486486486487,132.05405405405406
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,-1,,validation,706.0012287388809,976.1599944940698,-270.158765755189,29,0.6206896551724138,131.06896551724137
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,30,,test,2097.0429980132167,3479.0630185835043,-1382.0200205702877,233,0.4248927038626609,25.29184549356223
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,30,,train,360.35647764050174,1142.3923674873658,-782.0358898468642,173,0.4393063583815029,26.6878612716763
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,30,,validation,738.9895386983859,1514.3172522115897,-775.3277135132039,137,0.46715328467153283,26.59124087591241
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,60,,test,2107.468150805508,3235.2319222987558,-1127.7637714932482,145,0.4413793103448276,41.53103448275862
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,60,,train,420.68231161172406,952.3496173960752,-531.6673057843512,101,0.44554455445544555,46.89108910891089
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,60,,validation,741.8252895317497,1132.2636900930088,-390.4384005612592,82,0.4878048780487805,45.25609756097561
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,120,,test,1906.12508952041,3169.927594258873,-1263.8025047384626,101,0.49504950495049505,60.07920792079208
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,120,,train,405.6334079898006,811.5190158295419,-405.8856078397413,65,0.5076923076923077,73.47692307692307
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,120,,validation,769.2640671229902,1047.1536669469247,-277.8895998239345,54,0.6111111111111112,69.9074074074074
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,240,,test,2021.337279642285,2891.5520174946932,-870.214737852408,79,0.5189873417721519,77.32911392405063
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,240,,train,454.22625515370646,757.4194032883665,-303.19314813466,48,0.625,101.47916666666667
XLK-AAPL,AAPL,0.0277420570744385,1.0,0.75,240,,validation,696.3349004242957,995.1061995570176,-298.7712991327219,38,0.6578947368421053,99.78947368421052
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,-1,,test,891.5285783330182,1680.0248621611693,-788.4962838281511,33,0.36363636363636365,196.96969696969697
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,-1,,train,270.6393345999938,565.4133804690493,-294.7740458690556,18,0.3888888888888889,311.6111111111111
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,-1,,validation,810.5707296275125,872.2928725243955,-61.72214289688318,19,0.3684210526315789,244.42105263157896
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,30,,test,1371.780017240335,2219.7751747590755,-847.9951575187406,192,0.4375,27.901041666666668
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,30,,train,576.1417819466827,1169.7694166296105,-593.6276346829277,140,0.42142857142857143,29.09285714285714
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,30,,validation,597.0258876799384,1351.56051746409,-754.5346297841517,117,0.4188034188034188,28.213675213675213
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,60,,test,1680.354777739973,2478.9700195420905,-798.6152418021172,114,0.4473684210526316,50.8421052631579
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,60,,train,399.76864142819846,859.0302612512615,-459.2616198230632,80,0.4375,55.8625
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,60,,validation,773.8785019114364,1070.8912965195725,-297.012794608136,69,0.391304347826087,51.7536231884058
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,120,,test,1286.9661017636033,1892.74329040077,-605.7771886371668,74,0.4594594594594595,84.6891891891892
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,120,,train,428.9567633830841,662.9830190262911,-234.02625564320707,49,0.4489795918367347,99.65306122448979
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,120,,validation,792.6926969411792,922.102727848494,-129.41003090731493,42,0.47619047619047616,89.95238095238095
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,240,,test,1184.5679929370867,1769.599519197674,-585.0315262605872,47,0.425531914893617,139.17021276595744
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,240,,train,306.93058253544336,618.8122347065383,-311.88165217109486,31,0.45161290322580644,168.06451612903226
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.0,240,,validation,774.7133902287278,891.0603913460966,-116.3470011173687,27,0.4444444444444444,151.25925925925927
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,-1,,test,1654.0963365192374,2175.692462743259,-521.5961262240215,39,0.38461538461538464,171.15384615384616
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,-1,,train,469.3917876128762,707.9633631942993,-238.57157558142313,19,0.3684210526315789,287.57894736842104
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,-1,,validation,790.3826763182324,854.4196859859068,-64.0370096676745,19,0.42105263157894735,222.31578947368422
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,30,,test,1884.8048309958358,2809.3279285561066,-924.5230975602706,195,0.4256410256410256,27.466666666666665
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,30,,train,556.7793637041467,1170.091735890898,-613.3123721867513,140,0.42142857142857143,28.992857142857144
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,30,,validation,622.496494741965,1351.7583399040736,-729.2618451621087,117,0.42735042735042733,28.11111111111111
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,60,,test,2305.9136318931583,2838.824629250334,-532.9109973571761,118,0.4322033898305085,48.95762711864407
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,60,,train,497.71000691623453,984.1625496126586,-486.452542696424,80,0.4375,54.9875
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,60,,validation,758.8338504353683,1068.9658857668485,-310.13203533148004,69,0.4057971014492754,51.17391304347826
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,120,,test,1742.1469229711577,2378.7598307281914,-636.6129077570338,77,0.45454545454545453,80.77922077922078
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,120,,train,590.512730004699,805.1498558414456,-214.63712583674663,49,0.4489795918367347,97.10204081632654
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,120,,validation,751.2280144282731,921.8296349194653,-170.6016204911922,42,0.5,87.42857142857143
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,240,,test,1682.0775869129639,2256.1160711970715,-574.0384842841077,52,0.4230769230769231,121.90384615384616
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,240,,train,408.2620140671786,759.8988271751689,-351.63681310799024,31,0.45161290322580644,164.58064516129033
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.25,240,,validation,711.5524317063257,873.6152132050215,-162.0627814986957,27,0.48148148148148145,141.88888888888889
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,-1,,test,1721.3070276416715,2116.456773260656,-395.1497456189845,44,0.4772727272727273,141.0
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,-1,,train,437.4091649842963,721.3558598682032,-283.94669488390696,20,0.4,261.2
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,-1,,validation,693.4551121771094,867.5880436000836,-174.1329314229741,20,0.45,201.0
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,30,,test,1902.4822310979978,2820.0223656068442,-917.5401345088467,195,0.4256410256410256,27.225641025641025
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,30,,train,546.5582755242328,1167.420066944225,-620.8617914199922,140,0.42142857142857143,28.821428571428573
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,30,,validation,605.2220853823,1351.5057229937015,-746.2836376114017,117,0.42735042735042733,28.076923076923077
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,60,,test,2220.3278395483403,2753.85753872126,-533.5296991729194,118,0.4322033898305085,47.6271186440678
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,60,,train,490.38393961771135,992.5356139063642,-502.15167428865277,80,0.4375,54.725
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,60,,validation,745.9744725584156,1058.33658660209,-312.36211404367424,69,0.4057971014492754,51.028985507246375
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,120,,test,1774.7686585177696,2295.2103565308007,-520.441698013031,79,0.46835443037974683,74.32911392405063
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,120,,train,543.5067227553922,817.0280114280538,-273.5212886726617,49,0.4489795918367347,94.65306122448979
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,120,,validation,737.3293573195725,931.8402830242125,-194.5109257046399,43,0.4883720930232558,84.53488372093024
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,240,,test,1770.3664535753637,2177.8908560879,-407.5244025125361,55,0.4727272727272727,108.05454545454545
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,240,,train,414.94396005299456,769.7483686701395,-354.80440861714493,31,0.4838709677419355,160.32258064516128
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.5,240,,validation,679.0184487058061,886.0052208391168,-206.98677213331067,28,0.5,135.21428571428572
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,-1,,test,2034.8562682400288,2502.229101452257,-467.3728332122282,55,0.5454545454545454,104.89090909090909
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,-1,,train,620.2332458427609,761.4756251310346,-141.24237928827375,25,0.56,179.16
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,-1,,validation,544.1631597425352,882.4656071379029,-338.3024473953677,20,0.45,180.0
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,30,,test,2115.6526854486824,3186.914149760557,-1071.2614643118743,199,0.4271356783919598,25.934673366834172
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,30,,train,550.750822910722,1158.6442125866354,-607.8933896759133,140,0.42142857142857143,28.192857142857143
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,30,,validation,659.4548709909278,1363.9096811932661,-704.4548102023383,117,0.42735042735042733,27.666666666666668
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,60,,test,2319.416107682985,2989.0994346093185,-669.6833269263334,123,0.43089430894308944,43.8780487804878
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,60,,train,585.6572830464038,1075.7162601830023,-490.0589771365985,81,0.4074074074074074,52.382716049382715
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,60,,validation,733.3108053940263,1073.68862707993,-340.37782168590377,69,0.4057971014492754,48.2463768115942
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,120,,test,2091.940247048549,2674.8494368699394,-582.9091898213908,85,0.5058823529411764,65.71764705882353
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,120,,train,649.7226491157895,842.3797471282044,-192.65709801241482,50,0.5,86.54
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,120,,validation,642.9302698902374,945.8210245862184,-302.89075469598106,43,0.4883720930232558,78.81395348837209
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,240,,test,2099.3447654160605,2539.4032143395616,-440.0584489235014,64,0.546875,88.109375
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,240,,train,585.8454363115675,809.7986945642758,-223.95325825270834,34,0.5294117647058824,131.35294117647058
XLK-AAPL,AAPL,0.0277420570744385,1.25,0.75,240,,validation,542.6199349035736,901.0227064242249,-358.4027715206512,28,0.5,122.14285714285714
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,-1,,test,2184.624601026589,2857.7828335366216,-673.1582325100327,71,0.5915492957746479,73.74647887323944
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,-1,,train,655.5959754407261,834.1199841188499,-178.5240086781239,36,0.6388888888888888,110.91666666666667
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,-1,,validation,687.5886854555457,1113.4361679238218,-425.84748246827616,27,0.5185185185185185,124.74074074074075
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,30,,test,2233.7283474295714,3462.152364595579,-1228.4240171660074,206,0.46601941747572817,23.980582524271846
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,30,,train,513.8241351430443,1077.9977825942995,-564.1736474512553,144,0.4375,26.36111111111111
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,30,,validation,789.6749235158935,1554.8949966923108,-765.2200731764171,119,0.44537815126050423,26.100840336134453
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,60,,test,2392.588282382278,3331.71160240256,-939.1233200202819,134,0.4552238805970149,38.007462686567166
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,60,,train,630.4326225043129,1099.0919340266619,-468.65931152234884,87,0.47126436781609193,44.6551724137931
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,60,,validation,849.8757255447565,1310.4412547841312,-460.5655292393745,73,0.4383561643835616,43.821917808219176
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,120,,test,2152.267583336086,2997.996382949479,-845.7287996133933,97,0.5360824742268041,52.94845360824742
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,120,,train,660.3323358624922,907.9191812338588,-247.58684537136662,59,0.559322033898305,67.2542372881356
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,120,,validation,856.4704208311698,1187.4737988219024,-331.0033779907325,48,0.5416666666666666,67.52083333333333
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,240,,test,2220.489073241803,2891.2802258537195,-670.7911526119163,79,0.5822784810126582,65.84810126582279
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,240,,train,636.291901454701,881.0926398153752,-244.80073836067413,43,0.627906976744186,92.69767441860465
XLK-AAPL,AAPL,0.0277420570744385,1.25,1.0,240,,validation,708.7048128388794,1128.3049325584975,-419.60011971961796,34,0.5294117647058824,96.67647058823529
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,-1,,test,945.6725175965319,1593.473845327867,-647.801327731335,30,0.43333333333333335,201.46666666666667
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,-1,,train,467.59505751669195,525.4642465846725,-57.86918906798063,18,0.5,302.6666666666667
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,-1,,validation,682.8282693197635,817.3226273607285,-134.49435804096493,16,0.375,258.0
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,30,,test,1803.3938015711788,2574.9555528151527,-771.5617512439737,157,0.445859872611465,28.089171974522294
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,30,,train,469.51672380895457,795.398832590465,-325.8821087815104,111,0.44144144144144143,29.25225225225225
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,30,,validation,599.9072711920302,890.8767014440858,-290.96943025205564,89,0.4606741573033708,28.258426966292134
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,60,,test,1259.226563792447,2215.435442142297,-956.2088783498499,91,0.3956043956043956,52.15384615384615
XLK-AAPL,AAPL,0.0277420570744385,1.5,0.0,60,,train,454.7291839087611,571.468875852492,-116.73969194373089,64,0.46875,56.734375
