cost_mult,period,gross_bps,cost_bps,net_bps
1.0,jan,287.1849592791076,142.2595056361784,144.9254536429292
1.0,feb,402.05472825238786,137.44958631494904,264.6051419374388
1.0,mar,870.7429451645155,232.39023959835225,638.3527055661632
1.0,all,1559.9826326960108,512.0993315494795,1047.8833011465313
1.5,jan,287.1849592791076,213.3892584542676,73.79570082484
1.5,feb,402.05472825238786,206.17437947242357,195.8803487799643
1.5,mar,870.7429451645155,348.58535939752835,522.1575857669872
1.5,all,1559.9826326960108,768.1489973242193,791.8336353717915
2.0,jan,287.1849592791076,284.5190112723568,2.6659480067507957
2.0,feb,402.05472825238786,274.8991726298981,127.15555562248977
2.0,mar,870.7429451645155,464.7804791967045,405.962465967811
2.0,all,1559.9826326960108,1024.198663098959,535.7839695970517
3.0,jan,287.1849592791076,426.7785169085352,-139.5935576294276
3.0,feb,402.05472825238786,412.34875894484713,-10.294030692459273
3.0,mar,870.7429451645155,697.1707187950567,173.5722263694588
3.0,all,1559.9826326960108,1536.2979946484386,23.684638047572207
4.0,jan,287.1849592791076,569.0380225447136,-281.853063265606
4.0,feb,402.05472825238786,549.7983452597962,-147.74361700740832
4.0,mar,870.7429451645155,929.560958393409,-58.818013228893506
4.0,all,1559.9826326960108,2048.397326197918,-488.4146935019073
