stock,pair,spread_type,beta,alpha,entry_z,exit_z,validation_net_bps_0.25x_spread
ADI,XLK-ADI,price_regression_residual,-1.6568680505191316,14.567359772757936,1.25,0.0,1806.8753607835652
SNDK,XLK-SNDK,price_regression_residual,-0.13782418520073408,6.0837133951357725,1.0,0.25,1444.242726829999
INTC,XLK-INTC,price_regression_residual,-0.31872806214997046,6.526560365056239,1.0,0.0,1120.2227824661918
CSCO,XLK-CSCO,price_regression_residual,-1.4733000785673045,11.708813032109092,1.0,0.0,1074.626907047092
MU,XLK-MU,price_regression_residual,-0.28880474570746223,6.927083966875911,1.25,0.5,1071.8766508441204
KLAC,XLK-KLAC,price_regression_residual,-0.5731836660758246,9.424189222867486,1.0,0.25,1058.5230916642333
TXN,XLK-TXN,price_regression_residual,-0.4189711789333449,7.639027238918199,1.0,0.5,998.0805948149138
MSFT,XLK-MSFT,price_regression_residual,2.665953694326311,-11.070050615534992,1.5,0.5,785.8089365997959
AAPL,XLK-AAPL,direct_log_price,0.13016682388301618,0.0,1.0,0.25,650.6378763631324
LRCX,XLK-LRCX,price_regression_residual,-0.38556695815422065,7.310598506669814,1.0,0.0,624.419957193358
AAPL,XLK-AAPL,price_regression_residual,-0.46192606925982194,7.977908039733875,1.25,0.5,602.763072095387
AVGO,XLK-AVGO,price_regression_residual,-0.10471217306043695,6.052311947694292,1.0,0.5,571.2224993271349
QCOM,XLK-QCOM,price_regression_residual,-0.516978634126997,8.081071228272378,1.0,0.5,567.9232064403695
AMD,XLK-AMD,direct_log_price,0.14474834488538607,0.0,1.0,0.5,566.2527518957531
KLAC,XLK-KLAC,direct_log_price,0.09684657338915938,0.0,1.0,0.0,542.370372429399
AVGO,XLK-AVGO,direct_log_price,0.1460693017072228,0.0,1.0,0.5,535.8046981294195
IBM,XLK-IBM,direct_log_price,0.09888069889352176,0.0,1.0,0.25,496.30484804443574
NVDA,XLK-NVDA,direct_log_price,0.3337749645659467,0.0,1.0,0.5,481.6801042566139
