sample,true_label,pred_label,count
selected_train,no_trade,no_trade,20491
selected_train,no_trade,mean_reversion,2702
selected_train,no_trade,trend_continuation,2272
selected_train,mean_reversion,no_trade,4381
selected_train,mean_reversion,mean_reversion,5563
selected_train,mean_reversion,trend_continuation,1200
selected_train,trend_continuation,no_trade,4871
selected_train,trend_continuation,mean_reversion,1861
selected_train,trend_continuation,trend_continuation,5873
validation,no_trade,no_trade,2083
validation,no_trade,mean_reversion,119
validation,no_trade,trend_continuation,181
validation,mean_reversion,no_trade,835
validation,mean_reversion,mean_reversion,282
validation,mean_reversion,trend_continuation,210
validation,trend_continuation,no_trade,1036
validation,trend_continuation,mean_reversion,175
validation,trend_continuation,trend_continuation,158
test,no_trade,no_trade,3749
test,no_trade,mean_reversion,700
test,no_trade,trend_continuation,640
test,mean_reversion,no_trade,1266
test,mean_reversion,mean_reversion,884
test,mean_reversion,trend_continuation,617
test,trend_continuation,no_trade,1556
test,trend_continuation,mean_reversion,1167
test,trend_continuation,trend_continuation,919
