strategy,train_scheme,model_name,horizon_min,label_edge_bps,confidence,train_balanced_accuracy,validation_balanced_accuracy,test_balanced_accuracy,train_mr_frac,train_trend_frac,validation_mr_frac,validation_trend_frac,test_mr_frac,test_trend_frac,2025_05_gross_bps,2025_05_cost_bps,2025_05_net_bps,2025_05_trades,2025_06_gross_bps,2025_06_cost_bps,2025_06_net_bps,2025_06_trades,2025_07_gross_bps,2025_07_cost_bps,2025_07_net_bps,2025_07_trades,2025_08_gross_bps,2025_08_cost_bps,2025_08_net_bps,2025_08_trades,2025_09_gross_bps,2025_09_cost_bps,2025_09_net_bps,2025_09_trades,2025_10_gross_bps,2025_10_cost_bps,2025_10_net_bps,2025_10_trades,2025_11_gross_bps,2025_11_cost_bps,2025_11_net_bps,2025_11_trades,2025_12_gross_bps,2025_12_cost_bps,2025_12_net_bps,2025_12_trades,2026_01_gross_bps,2026_01_cost_bps,2026_01_net_bps,2026_01_trades,2026_02_gross_bps,2026_02_cost_bps,2026_02_net_bps,2026_02_trades,2026_03_gross_bps,2026_03_cost_bps,2026_03_net_bps,2026_03_trades,2026_04_gross_bps,2026_04_cost_bps,2026_04_net_bps,2026_04_trades,2026_05_gross_bps,2026_05_cost_bps,2026_05_net_bps,2026_05_trades,train_gross_bps,train_cost_bps,train_net_bps,train_trades,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,test_gross_bps,test_cost_bps,test_net_bps,test_trades,validation_always_long_net_bps,validation_always_short_net_bps,test_always_long_net_bps,test_always_short_net_bps,validation_excess_vs_best_directional_bps,test_excess_vs_best_directional_bps,validation_score
train_all_rf_depth4_h60_edge5_p0.4,train_all,rf_depth4,60,5.0,0.4,0.5899305636590378,0.4006767988805206,0.4361668117185768,0.13826155820748792,0.1275976951855594,0.07827150428047289,0.07460252751732573,0.16514587585544482,0.13062792652179134,587.9704566967714,228.02219053507613,359.94826616169524,104,346.8854094506124,340.8805813132026,6.004828137409837,136,302.7949901859106,260.5638594245439,42.23113076136671,136,218.87068874968384,84.69689538932259,134.1737933603613,114,379.5082181195042,234.30833680973873,145.1998813097655,228,643.4485736186879,567.2263142606218,76.22225935806618,278,938.6760693042539,336.8142429112586,601.8618263929955,132,576.3088935117455,368.49972341658946,207.80917009515596,188,301.0075209780805,245.40689026150045,55.60063071658003,146,239.80192464843066,135.48424429835637,104.31768035007427,148,283.03029588838234,301.5637729613621,-18.533477072979746,234,104.88166993787296,358.0206186526552,-253.1389487147822,246,0.0,0.0,0.0,0,4295.47082061525,2666.4190343218543,1629.0517862933962,1462,239.80192464843066,135.48424429835637,104.31768035007427,148,387.9119658262553,659.5843916140171,-271.6724257877619,480,-39.6307355653235,-231.36511063097143,-574.755993141524,-744.4641889538246,143.94841591539776,303.0835673537621,245.4986520393594
recent_3m_rf_depth3_h60_edge10_p0.4,recent_3m,rf_depth3,60,10.0,0.4,0.5451183495971353,0.4692016632855946,0.3591432830529285,0.07593329382883264,0.13463980360619657,0.00040766408479412964,0.3410789509444218,0.0,0.2153319726257654,180.68913284413844,48.80735604693178,131.88177679720667,24,-103.07133123519385,27.3816003537968,-130.45293158899065,4,0.0,0.0,0.0,0,81.4142834901066,39.96051591688834,41.45376757321827,36,-149.19023064697612,72.84399905969842,-222.03422970667452,42,-33.30351458306957,29.691640276496745,-62.995154859566306,10,502.817178452899,82.19429671245224,420.62288174044676,74,757.2228410079163,249.59887772258836,507.6239632853279,118,84.26722505299189,11.794133290059982,72.47309176293192,4,271.8593012140946,119.88585805410239,151.97344315999226,68,-45.60162069385143,146.81874418773282,-192.42036488158425,76,-179.96005919614254,5.5314023276636775,-185.49146152380624,10,0.0,0.0,0.0,0,1320.8455843828126,562.2724193789127,758.5731650039,312,271.8593012140946,119.88585805410239,151.97344315999226,68,-225.56167988999397,152.3501465153965,-377.91182640539046,86,-377.2587497210111,137.43697413583766,-66.64474248455483,-238.0640735467255,14.536469024154599,-311.2670839208356,165.20763591429767
recent_1m_rf_depth3_h30_edge5_p0.5,recent_1m,rf_depth3,30,5.0,0.5,0.5962540890934734,0.35780936952758724,0.3375906808953528,0.10683485648088557,0.10567640622988801,0.00027177605652941976,0.024188069031118357,0.010565494056909593,0.013386961219834313,-97.5937939137328,10.426854573541352,-108.02064848727414,8,24.67867051340278,160.40807558227218,-135.7294050688694,116,60.92627952934748,269.65427082466425,-208.72799129531674,180,-67.73735423562854,91.04667246526469,-158.78402670089324,56,-38.7098184967094,29.87664186277052,-68.58646035947993,32,-14.846778559398643,106.60326687449472,-121.45004543389337,42,-15.005232106526378,8.381266951118691,-23.386499057645068,18,-3.174843109414738,130.5394113119136,-133.71425442132838,68,448.67337429637996,285.8299952109914,162.84337908538865,164,232.42366255900038,68.5884178261483,163.8352447328521,46,-74.11391934720513,49.58315865522642,-123.69707800243154,18,-105.45566742529822,189.7706304711069,-295.22629789640513,142,0.0,0.0,0.0,0,297.21050391771973,1092.7664556570312,-795.5559517393117,684,232.42366255900038,68.5884178261483,163.8352447328521,46,-179.56958677250333,239.35378912633325,-418.9233758988367,160,-301.01096846452134,163.8352447328521,-77.14465421602657,-401.716812235299,0.0,-341.7787216828101,163.98391753682054
recent_6m_rf_depth4_h30_edge2.5_p0.4,recent_6m,rf_depth4,30,2.5,0.4,0.6371751852165951,0.4378836663776205,0.5062979892866037,0.19799426934097422,0.23174375767498975,0.0688952303302079,0.2269330072020655,0.1373514227398247,0.34037699603793975,68.27179981327092,331.571541193548,-263.29974138027706,180,221.77490678866542,823.402254447866,-601.6273476592006,384,166.54095535554524,561.9039820396586,-395.36302668411327,288,442.04580646695746,250.84480205040796,191.20100441654952,218,675.305612239292,518.6629903668298,156.64262187246217,294,1384.7918469586061,742.4825200047104,642.3093269538958,408,1268.6660876088406,727.7871826341558,540.8789049746848,228,969.6894319811022,828.5867495233189,141.10268245778323,394,683.4381704076798,264.4577592955413,418.9804111121385,224,315.68102174073687,301.41797028743616,14.263051453300676,196,602.7699734208625,870.0242935070245,-267.25432008616195,490,132.38954446906703,973.415524627035,-841.025980157968,550,0.0,0.0,0.0,0,5880.52461761996,5049.699781556036,830.8248360639235,2618,315.68102174073687,301.41797028743616,14.263051453300676,196,735.1595178899295,1843.4398181340594,-1108.2803002441299,1040,-471.8557090390062,-130.94219998674484,-1432.3408585113682,-2254.489962727072,145.20525144004552,324.0605582672383,148.7762410427506
recent_1m_rf_depth4_h120_edge2.5_p0.5,recent_1m,rf_depth4,120,2.5,0.5,0.8050975208728829,0.3600792852587796,0.38421753951632615,0.1042605225897799,0.14261809756725446,0.0,0.03206957467047153,0.06411333893624685,0.036258854604394285,7.6997705587977805,16.069602885284073,-8.369832326486286,10,-9.043080655484204,220.91077499431594,-229.95385564980015,90,-92.63072997820032,427.2684132314123,-519.8991432096126,144,64.54267126132507,133.07712300217756,-68.53445174085249,50,37.175847074895074,76.03675674739766,-38.860909672502586,92,1.9244743296997768,96.89442164619943,-94.96994731649968,78,-62.285892544915455,113.34014621197687,-175.6260387568923,54,-2.4674580857464434,84.94568409823263,-87.41314218397908,50,463.7446525091793,171.60956765059257,292.1350848585867,108,165.98606379518264,29.814888024088507,136.17117577109417,24,30.864848890557184,193.84941766925544,-162.98456877869822,104,-4.41510399198819,289.299605840431,-293.71470983241915,166,0.0,0.0,0.0,0,408.6602544695506,1340.1524904675887,-931.4922359980385,676,165.98606379518264,29.814888024088507,136.17117577109417,24,26.449744898568994,483.1490235096864,-456.6992786111174,270,-195.79240548099193,136.17117577109417,-632.8441483005387,-333.5050275721362,0.0,-123.19425103898118,138.28122422247753
recent_1m_rf_depth4_h120_edge5_p0.5,recent_1m,rf_depth4,120,5.0,0.5,0.8260381324177365,0.3612209527200018,0.37563248882760275,0.10644870639721972,0.14429141459647316,0.0,0.03220546269873624,0.07828070596710289,0.05642934325849442,-35.37142601052423,11.471595409316969,-46.84302141984119,4,39.62827046318118,514.6693898877529,-475.0411194245718,156,-75.71531335559101,385.91931625057606,-461.63462960616704,180,112.0916728972432,112.15685197993187,-0.06517908268868149,50,-26.04592423305796,204.78958137518103,-230.835505608239,140,24.596552847171438,225.57829383656318,-200.98174098939168,124,-56.70555543832556,163.99436681481757,-220.69992225314311,54,-35.26505258665047,300.11399596802903,-335.3790485546795,114,416.3356951987129,155.15094514689184,261.1847500518211,112,157.11917733845837,28.336254581681665,128.78292275677674,24,-58.01226235636392,335.12490879656923,-393.13717115293315,136,-100.5066810582278,284.4828168575995,-384.98949791582737,202,0.0,0.0,0.0,0,363.54891978215954,2073.8443366690603,-1710.2954168869007,934,157.11917733845837,28.336254581681665,128.78292275677674,24,-158.51894341459172,619.6077256541687,-778.1266690687605,338,-185.44655767671233,128.78292275677674,-545.5570377963289,-693.7029139098572,0.0,-232.5696312724316,130.97831955489266
recent_1m_rf_depth3_h120_edge5_p0.5,recent_1m,rf_depth3,120,5.0,0.5,0.7555620336475187,0.3601996108961567,0.3868309461261325,0.07735873342772558,0.13244947869738705,0.0006794401413235494,0.03356434298138334,0.07053667907311802,0.03811982230759995,-35.37142601052423,11.471595409316969,-46.84302141984119,4,46.795952448901446,242.27268080672044,-195.47672835781904,88,31.317974610391985,33.8597304884529,-2.541755878060902,34,0.0,0.0,0.0,0,27.222362751295748,80.6431098911033,-53.42074713980755,52,70.66881689488547,202.72947115335637,-132.0606542584709,106,-72.38251753638458,31.212561810782887,-103.59507934716748,44,-27.722813944670577,12.419207086544432,-40.14202103121501,16,426.00015816016247,313.59246758060624,112.40769057955619,118,168.70981332060887,44.36693947819593,124.34287384241294,32,164.2348780873526,321.0428402814541,-156.80796219410155,190,-22.947296153379426,166.38892551346672,-189.33622166684617,78,0.0,0.0,0.0,0,466.5285073740577,928.2008242268836,-461.6723168528258,462,168.70981332060887,44.36693947819593,124.34287384241294,32,141.28758193397317,487.43176579492086,-346.14418386094775,268,-213.05088115910044,124.34287384241294,-663.5154676286246,-311.25559407352574,0.0,-34.888589787422006,125.72652297746471
recent_1m_rf_depth3_h30_edge5_p0.4,recent_1m,rf_depth3,30,5.0,0.4,0.7135692012808268,0.4088083944922077,0.4235251329825555,0.1805895224610632,0.23683871798172224,0.041038184535942386,0.1568147846174752,0.09100732380838036,0.3608476407732021,168.90330591547985,345.0973085189685,-176.1940026034886,130,-161.37500219238987,521.4106244129481,-682.785626605338,186,-75.71375444360484,304.8860423419593,-380.59979678556414,164,-27.6388860038157,132.85286719239076,-160.49175319620645,96,1.322433825796665,187.48761393300083,-186.16518010720412,142,-224.63028862856225,522.3025743610687,-746.9328629896311,304,170.8432424545947,330.51672609396337,-159.6734836393687,100,26.15014455876974,230.7584082925912,-204.60826373382153,112,627.6049003437834,166.66881832313268,460.93608202065064,132,253.28409952846798,138.6561131478724,114.62798638059563,108,-262.6906992190481,567.1448368319531,-829.8355360510012,238,87.72220437605505,240.39680367590844,-152.67459929985333,212,0.0,0.0,0.0,0,505.46609583005164,2741.9809834700236,-2236.5148876399726,1366,253.28409952846798,138.6561131478724,114.62798638059563,108,-174.96849484299304,807.5416405078615,-982.5101353508546,450,-380.2561879264102,102.95483492537689,-461.44521540133843,-1153.6868030149703,11.673151455218743,-521.0649199495163,123.45641612334283
train_all_rf_depth4_h30_edge5_p0.4,train_all,rf_depth4,30,5.0,0.4,0.5209318367655816,0.42425742973473435,0.44627501954530446,0.12638247904093503,0.0939812665556132,0.0426688408751189,0.154097024052181,0.17349021491175412,0.15001800936486973,529.031132877682,305.39045023152494,223.64068264615705,158,652.3903402812881,686.715493695,-34.32515341371194,242,552.875533229269,269.8614950991109,283.01403813015816,148,311.5771618594998,207.0849859476739,104.49217591182594,128,236.42662977724882,183.58351498220048,52.84311479504836,132,755.9978852764892,707.9527859209647,48.04509935552472,358,1066.3343431127714,542.1163912009079,524.2179519118636,168,737.7115148660973,446.9357395823227,290.7757752837746,214,437.8490771003829,183.2355878599546,254.61348924042827,132,288.424704007495,222.77964463229895,65.64505937519606,210,565.2205444674596,377.72414340465605,187.49640106280364,254,7.499472369101312,482.4294566080663,-474.929984238965,336,0.0,0.0,0.0,0,5280.193618380728,3532.8764445196603,1747.317173861068,1680,288.424704007495,222.77964463229895,65.64505937519606,210,572.720016836561,860.1536000127223,-287.4335831761613,590,-448.5724464363995,3.0444026343324526,-900.8514049000204,-819.390140261379,62.600656740863606,531.9565570852177,121.34930818179207
recent_1m_rf_depth3_h120_edge2.5_p0.5,recent_1m,rf_depth3,120,2.5,0.5,0.7194484637545134,0.3569705882041894,0.37999036522128843,0.07761616681683614,0.11713219204530828,0.001087104226117679,0.03628210354667754,0.06843558650498259,0.048745347580741984,-31.62722122485917,23.14112642876434,-54.76834765362351,6,-25.162273000374213,203.9564689848837,-229.1187419852579,72,44.552451478798716,22.14852036990548,22.40393110889324,20,0.0,0.0,0.0,0,64.90239261061959,46.247772702460544,18.65461990815905,40,54.977372172215766,257.84175607563435,-202.8643839034186,106,9.446728395321458,86.95350391854002,-77.50677552321856,62,-31.874055128442436,9.658567363318554,-41.532622491760996,10,372.2859798502665,254.92845635036832,117.35752349989811,106,129.56748973290468,14.467850395003719,115.09963933790095,12,123.00761660552162,295.4757035480262,-172.46808694250456,196,-113.85478391737536,230.1199932751672,-343.97477719254255,136,0.0,0.0,0.0,0,457.5013751535462,904.8761721938753,-447.37479704032927,422,129.56748973290468,14.467850395003719,115.09963933790095,12,9.152832688146262,525.5956968231934,-516.4428641350471,332,-144.04049312031026,115.09963933790095,-527.844858983007,-523.3506007167601,0.0,6.9077365817130385,117.94595270019265
