strategy,control,m2025_05_gross_bps,m2025_05_cost_bps,m2025_05_net_bps,m2025_05_trades,m2025_05_avg_abs_position,m2025_06_gross_bps,m2025_06_cost_bps,m2025_06_net_bps,m2025_06_trades,m2025_06_avg_abs_position,m2025_07_gross_bps,m2025_07_cost_bps,m2025_07_net_bps,m2025_07_trades,m2025_07_avg_abs_position,m2025_08_gross_bps,m2025_08_cost_bps,m2025_08_net_bps,m2025_08_trades,m2025_08_avg_abs_position,m2025_09_gross_bps,m2025_09_cost_bps,m2025_09_net_bps,m2025_09_trades,m2025_09_avg_abs_position,m2025_10_gross_bps,m2025_10_cost_bps,m2025_10_net_bps,m2025_10_trades,m2025_10_avg_abs_position,m2025_11_gross_bps,m2025_11_cost_bps,m2025_11_net_bps,m2025_11_trades,m2025_11_avg_abs_position,m2025_12_gross_bps,m2025_12_cost_bps,m2025_12_net_bps,m2025_12_trades,m2025_12_avg_abs_position,m2026_01_gross_bps,m2026_01_cost_bps,m2026_01_net_bps,m2026_01_trades,m2026_01_avg_abs_position,m2026_02_gross_bps,m2026_02_cost_bps,m2026_02_net_bps,m2026_02_trades,m2026_02_avg_abs_position,m2026_03_gross_bps,m2026_03_cost_bps,m2026_03_net_bps,m2026_03_trades,m2026_03_avg_abs_position,m2026_04_gross_bps,m2026_04_cost_bps,m2026_04_net_bps,m2026_04_trades,m2026_04_avg_abs_position,m2026_05_gross_bps,m2026_05_cost_bps,m2026_05_net_bps,m2026_05_trades,m2026_05_avg_abs_position,nov_gross_bps,nov_cost_bps,nov_net_bps,nov_trades,nov_avg_abs_position,dec_gross_bps,dec_cost_bps,dec_net_bps,dec_trades,dec_avg_abs_position,jan_gross_bps,jan_cost_bps,jan_net_bps,jan_trades,jan_avg_abs_position,feb_gross_bps,feb_cost_bps,feb_net_bps,feb_trades,feb_avg_abs_position,mar_gross_bps,mar_cost_bps,mar_net_bps,mar_trades,mar_avg_abs_position,apr_gross_bps,apr_cost_bps,apr_net_bps,apr_trades,apr_avg_abs_position,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_avg_abs_position,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position,train_fold_positive_rate,train_worst_month_bps,all_net_bps
baseline_no_gate,selected_path,-454.10506274045304,215.033084895309,-669.138147635762,66,0.7964233219010289,26.49732964960627,237.25696507242606,-210.75963542281977,76,0.9412294238683128,37.457257548947354,246.49873594265054,-209.04147839370313,82,0.9173974875562929,100.10513118720255,168.66393071504186,-68.55879952783934,60,0.7138121546961326,195.41724321366695,161.28341209038388,34.13383112328304,68,0.8011049723756906,456.81944215039573,273.97404018004386,182.84540197035182,86,0.9274373881932021,12.463530508890486,353.5225755403694,-341.05904503147906,62,0.7929862715780889,-961.782558096882,285.36605242401316,-1247.1486105208949,84,0.9492941176470588,-22.723235542825293,144.01277767073785,-166.7360132135631,58,0.7208134895095893,167.88893502573288,143.34661994680297,24.542315078929825,70,0.9122163337409974,156.5678691378469,188.97238171266886,-32.40451257482201,76,0.8534492889881302,-724.1592451693534,138.19526455258017,-862.3545097219337,75,0.9117683151306909,0.0,0.0,0.0,0,0.0,12.463530508890486,353.5225755403694,-341.05904503147906,62,0.7929862715780889,-961.782558096882,285.36605242401316,-1247.1486105208949,84,0.9492941176470588,-22.723235542825293,144.01277767073785,-166.7360132135631,58,0.7208134895095893,167.88893502573288,143.34661994680297,24.542315078929825,70,0.9122163337409974,156.5678691378469,188.97238171266886,-32.40451257482201,76,0.8534492889881302,-724.1592451693534,138.19526455258017,-862.3545097219337,75,0.9117683151306909,-609.8509221214509,2085.6115745309753,-2695.4624966524266,642,0.842445178732352,167.88893502573288,143.34661994680297,24.542315078929825,70,0.9122163337409974,-567.5913760315066,327.16764626524906,-894.7590222967557,151,0.8819786288870213,0.2222222222222222,-1247.1486105208949,-3565.6792038702524
baseline_no_gate,sign_flip_gross,454.10506274045304,215.033084895309,239.071977845144,66,0.7964233219010289,-26.49732964960627,237.25696507242606,-263.75429472203234,76,0.9412294238683128,-37.457257548947354,246.49873594265054,-283.95599349159784,82,0.9173974875562929,-100.10513118720255,168.66393071504186,-268.76906190224435,60,0.7138121546961326,-195.41724321366695,161.28341209038388,-356.7006553040508,68,0.8011049723756906,-456.81944215039573,273.97404018004386,-730.7934823304396,86,0.9274373881932021,-12.463530508890486,353.5225755403694,-365.98610604925994,62,0.7929862715780889,961.782558096882,285.36605242401316,676.4165056728688,84,0.9492941176470588,22.723235542825293,144.01277767073785,-121.28954212791253,58,0.7208134895095893,-167.88893502573288,143.34661994680297,-311.23555497253585,70,0.9122163337409974,-156.5678691378469,188.97238171266886,-345.5402508505158,76,0.8534492889881302,724.1592451693534,138.19526455258017,585.9639806167733,75,0.9117683151306909,0.0,0.0,0.0,0,0.0,-12.463530508890486,353.5225755403694,-365.98610604925994,62,0.7929862715780889,961.782558096882,285.36605242401316,676.4165056728688,84,0.9492941176470588,22.723235542825293,144.01277767073785,-121.28954212791253,58,0.7208134895095893,-167.88893502573288,143.34661994680297,-311.23555497253585,70,0.9122163337409974,-156.5678691378469,188.97238171266886,-345.5402508505158,76,0.8534492889881302,724.1592451693534,138.19526455258017,585.9639806167733,75,0.9117683151306909,609.8509221214509,2085.6115745309753,-1475.7606524095245,642,0.842445178732352,-167.88893502573288,143.34661994680297,-311.23555497253585,70,0.9122163337409974,567.5913760315066,327.16764626524906,240.4237297662575,151,0.8819786288870213,0.2222222222222222,-730.7934823304396,-1546.5724776158027
long_only_diagnostic,selected_path,126.30580649534373,83.4640723242485,42.84173417109519,32,0.37898089171974525,153.8751270084848,16.583161990083774,137.29196501840104,4,0.04938271604938271,0.0,0.0,0.0,0,0.0,46.38344861393584,83.25572473908913,-36.872276125153334,34,0.41571516267648867,281.7297604241187,56.09379432896835,225.63596609515034,20,0.23597298956414978,61.690471556898885,2.4658244440804884,59.224647112818396,4,0.03544275491949911,-90.1337261475188,199.03551823934384,-289.1692443868628,34,0.4162022563544923,-567.9372254147363,170.01495870486553,-737.9521841196017,48,0.546235294117647,-171.26362659981353,30.374852779821147,-201.6384793796347,6,0.08070536748616296,-29.75409520487915,106.54293497418156,-136.29703017906084,40,0.5234406848756624,101.56600717325048,141.99751115691024,-40.431503983659795,44,0.4954753790104595,126.88178749550971,24.263736586037048,102.61805090947266,10,0.12394158792489876,0.0,0.0,0.0,0,0.0,-90.1337261475188,199.03551823934384,-289.1692443868628,34,0.4162022563544923,-567.9372254147363,170.01495870486553,-737.9521841196017,48,0.546235294117647,-171.26362659981353,30.374852779821147,-201.6384793796347,6,0.08070536748616296,-29.75409520487915,106.54293497418156,-136.29703017906084,40,0.5234406848756624,101.56600717325048,141.99751115691024,-40.431503983659795,44,0.4954753790104595,126.88178749550971,24.263736586037048,102.61805090947266,10,0.12394158792489876,-159.34996406328673,641.2879075505007,-800.6378716137876,182,0.23805947732051666,-29.75409520487915,106.54293497418156,-136.29703017906084,40,0.5234406848756624,228.4477946687602,166.2612477429473,62.18654692581286,54,0.313723136030736,0.4444444444444444,-737.9521841196017,-874.7483548670356
long_only_diagnostic,sign_flip_gross,-126.30580649534373,83.4640723242485,-209.76987881959226,32,0.37898089171974525,-153.8751270084848,16.583161990083774,-170.4582889985686,4,0.04938271604938271,0.0,0.0,0.0,0,0.0,-46.38344861393584,83.25572473908913,-129.63917335302492,34,0.41571516267648867,-281.7297604241187,56.09379432896835,-337.823554753087,20,0.23597298956414978,-61.690471556898885,2.4658244440804884,-64.15629600097938,4,0.03544275491949911,90.1337261475188,199.03551823934384,-108.90179209182519,34,0.4162022563544923,567.9372254147363,170.01495870486553,397.9222667098708,48,0.546235294117647,171.26362659981353,30.374852779821147,140.8887738199924,6,0.08070536748616296,29.75409520487915,106.54293497418156,-76.78883976930243,40,0.5234406848756624,-101.56600717325048,141.99751115691024,-243.56351833016078,44,0.4954753790104595,-126.88178749550971,24.263736586037048,-151.1455240815468,10,0.12394158792489876,0.0,0.0,0.0,0,0.0,90.1337261475188,199.03551823934384,-108.90179209182519,34,0.4162022563544923,567.9372254147363,170.01495870486553,397.9222667098708,48,0.546235294117647,171.26362659981353,30.374852779821147,140.8887738199924,6,0.08070536748616296,29.75409520487915,106.54293497418156,-76.78883976930243,40,0.5234406848756624,-101.56600717325048,141.99751115691024,-243.56351833016078,44,0.4954753790104595,-126.88178749550971,24.263736586037048,-151.1455240815468,10,0.12394158792489876,159.34996406328673,641.2879075505007,-481.9379434872141,182,0.23805947732051666,29.75409520487915,106.54293497418156,-76.78883976930243,40,0.5234406848756624,-228.4477946687602,166.2612477429473,-394.7090424117075,54,0.313723136030736,0.2222222222222222,-337.823554753087,-953.4358256682241
short_only_diagnostic,selected_path,-580.4108692357968,131.5690125710605,-711.9798818068572,34,0.4174424301812837,-127.37779735887855,220.67380308234226,-348.05160044122084,72,0.89184670781893,37.457257548947354,246.49873594265054,-209.04147839370313,82,0.9173974875562929,53.721682573266705,85.4082059759527,-31.686523402686007,26,0.29809699201964396,-86.31251721045174,105.18961776141555,-191.5021349718673,48,0.5651319828115409,395.12897059349683,271.5082157359634,123.62075485753338,82,0.891994633273703,102.59725665640929,154.4870573010255,-51.889800644616244,28,0.37678401522359656,-393.8453326821456,115.35109371914757,-509.19642640129325,36,0.40305882352941175,148.54039105698826,113.6379248909167,34.90246616607158,52,0.6401081220234265,197.64303023061203,36.80368497262144,160.83934525799057,30,0.38877564886533494,55.00186196459644,46.9748705557586,8.026991408837878,32,0.3579739099776707,-851.0410326648632,113.9315279665431,-964.9725606314064,65,0.7878267272057922,0.0,0.0,0.0,0,0.0,102.59725665640929,154.4870573010255,-51.889800644616244,28,0.37678401522359656,-393.8453326821456,115.35109371914757,-509.19642640129325,36,0.40305882352941175,148.54039105698826,113.6379248909167,34.90246616607158,52,0.6401081220234265,197.64303023061203,36.80368497262144,160.83934525799057,30,0.38877564886533494,55.00186196459644,46.9748705557586,8.026991408837878,32,0.3579739099776707,-851.0410326648632,113.9315279665431,-964.9725606314064,65,0.7878267272057922,-450.50095805816426,1444.3236669804746,-1894.8246250386392,460,0.6043857014118353,197.64303023061203,36.80368497262144,160.83934525799057,30,0.38877564886533494,-796.0391707002667,160.90639852230169,-956.9455692225685,97,0.5682554928562853,0.2222222222222222,-711.9798818068572,-2690.930849003217
short_only_diagnostic,sign_flip_gross,580.4108692357968,131.5690125710605,448.8418566647363,34,0.4174424301812837,127.37779735887855,220.67380308234226,-93.29600572346371,72,0.89184670781893,-37.457257548947354,246.49873594265054,-283.95599349159784,82,0.9173974875562929,-53.721682573266705,85.4082059759527,-139.1298885492194,26,0.29809699201964396,86.31251721045174,105.18961776141555,-18.87710055096379,48,0.5651319828115409,-395.12897059349683,271.5082157359634,-666.6371863294603,82,0.891994633273703,-102.59725665640929,154.4870573010255,-257.0843139574348,28,0.37678401522359656,393.8453326821456,115.35109371914757,278.49423896299794,36,0.40305882352941175,-148.54039105698826,113.6379248909167,-262.17831594790493,52,0.6401081220234265,-197.64303023061203,36.80368497262144,-234.44671520323348,30,0.38877564886533494,-55.00186196459644,46.9748705557586,-101.97673252035509,32,0.3579739099776707,851.0410326648632,113.9315279665431,737.10950469832,65,0.7878267272057922,0.0,0.0,0.0,0,0.0,-102.59725665640929,154.4870573010255,-257.0843139574348,28,0.37678401522359656,393.8453326821456,115.35109371914757,278.49423896299794,36,0.40305882352941175,-148.54039105698826,113.6379248909167,-262.17831594790493,52,0.6401081220234265,-197.64303023061203,36.80368497262144,-234.44671520323348,30,0.38877564886533494,-55.00186196459644,46.9748705557586,-101.97673252035509,32,0.3579739099776707,851.0410326648632,113.9315279665431,737.10950469832,65,0.7878267272057922,450.50095805816426,1444.3236669804746,-993.8227089223107,460,0.6043857014118353,-197.64303023061203,36.80368497262144,-234.44671520323348,30,0.38877564886533494,796.0391707002667,160.90639852230169,635.1327721779651,97,0.5682554928562853,0.2222222222222222,-666.6371863294603,-593.1366519475791
two_sided_premium_persistence_lb780_thr75_flat,selected_path,76.82222744416656,69.72744292469558,7.094784519470947,22,0.25698187163155317,54.076602959192144,64.46511781436739,-10.38851485517525,18,0.19753086419753085,30.07249545277979,81.13338197572529,-51.060886522945516,14,0.09966816781227779,-10.814538980330468,46.35674739443909,-57.171286374769586,18,0.20736648250460404,44.44659663923822,8.624967351562564,35.82162928767568,10,0.1047268262737876,132.73083646772045,23.60949723245909,109.12133923526135,12,0.10901162790697674,405.12933346001034,183.01571714518155,222.11361631482873,26,0.30025825744189205,-195.4823890210289,73.81398440616734,-269.2963734271962,18,0.15035294117647058,171.83785487222104,78.43909065424894,93.39876421797206,30,0.36208006178401336,362.7330667182438,82.51832566656803,280.2147410516758,30,0.2806087783666259,-142.55945889166455,52.81777440677577,-195.3772332984403,18,0.2123633799506405,90.57910268298386,26.559585432682418,64.01951725030145,13,0.1200147257332188,0.0,0.0,0.0,0,0.0,405.12933346001034,183.01571714518155,222.11361631482873,26,0.30025825744189205,-195.4823890210289,73.81398440616734,-269.2963734271962,18,0.15035294117647058,171.83785487222104,78.43909065424894,93.39876421797206,30,0.36208006178401336,362.7330667182438,82.51832566656803,280.2147410516758,30,0.2806087783666259,-142.55945889166455,52.81777440677577,-195.3772332984403,18,0.2123633799506405,90.57910268298386,26.559585432682418,64.01951725030145,13,0.1200147257332188,708.8190192939692,629.1859468988469,79.63307239512228,168,0.1951445970670963,362.7330667182438,82.51832566656803,280.2147410516758,30,0.2806087783666259,-51.98035620868069,79.37735983945818,-131.35771604813885,31,0.1671869372073478,0.5555555555555556,-269.2963734271962,228.4900973986592
two_sided_premium_persistence_lb780_thr75_flat,sign_flip_gross,-76.82222744416656,69.72744292469558,-146.54967036886217,22,0.25698187163155317,-54.076602959192144,64.46511781436739,-118.54172077355955,18,0.19753086419753085,-30.07249545277979,81.13338197572529,-111.20587742850508,14,0.09966816781227779,10.814538980330468,46.35674739443909,-35.542208414108615,18,0.20736648250460404,-44.44659663923822,8.624967351562564,-53.071563990800776,10,0.1047268262737876,-132.73083646772045,23.60949723245909,-156.3403337001795,12,0.10901162790697674,-405.12933346001034,183.01571714518155,-588.145050605192,26,0.30025825744189205,195.4823890210289,73.81398440616734,121.66840461486154,18,0.15035294117647058,-171.83785487222104,78.43909065424894,-250.27694552647,30,0.36208006178401336,-362.7330667182438,82.51832566656803,-445.25139238481177,30,0.2806087783666259,142.55945889166455,52.81777440677577,89.74168448488875,18,0.2123633799506405,-90.57910268298386,26.559585432682418,-117.13868811566627,13,0.1200147257332188,0.0,0.0,0.0,0,0.0,-405.12933346001034,183.01571714518155,-588.145050605192,26,0.30025825744189205,195.4823890210289,73.81398440616734,121.66840461486154,18,0.15035294117647058,-171.83785487222104,78.43909065424894,-250.27694552647,30,0.36208006178401336,-362.7330667182438,82.51832566656803,-445.25139238481177,30,0.2806087783666259,142.55945889166455,52.81777440677577,89.74168448488875,18,0.2123633799506405,-90.57910268298386,26.559585432682418,-117.13868811566627,13,0.1200147257332188,-708.8190192939692,629.1859468988469,-1338.0049661928163,168,0.1951445970670963,-362.7330667182438,82.51832566656803,-445.25139238481177,30,0.2806087783666259,51.98035620868069,79.37735983945818,-27.39700363077751,31,0.1671869372073478,0.1111111111111111,-588.145050605192,-1810.6533622084055
flip_short_uptrend_multi_day_trend_premium_lb1950_thr100_flip,selected_path,-117.21841238639286,214.9815133303403,-332.19992571673333,66,0.7964233219010289,-180.19614023430995,237.25871614060762,-417.4548563749176,76,0.9412294238683128,37.457257548947354,246.49873594265054,-209.04147839370313,82,0.9173974875562929,100.10513118720255,168.66393071504186,-68.55879952783934,60,0.7138121546961326,97.90211446753183,161.28886609843474,-63.38675163090288,68,0.8011049723756906,189.8659111666223,273.9304391902017,-84.06452802357938,86,0.9274373881932021,12.463530508890486,353.5225755403694,-341.05904503147906,62,0.7929862715780889,-893.6732024996097,285.35198186074444,-1179.025184360354,84,0.9492941176470588,-234.6982787542462,144.0207176029729,-378.71899635721905,58,0.7208134895095893,167.88893502573288,143.34661994680297,24.542315078929825,70,0.9122163337409974,156.5678691378469,188.97238171266886,-32.40451257482201,76,0.8534492889881302,777.4735239248187,138.15683744306907,639.3166864817496,75,0.9117683151306909,0.0,0.0,0.0,0,0.0,12.463530508890486,353.5225755403694,-341.05904503147906,62,0.7929862715780889,-893.6732024996097,285.35198186074444,-1179.025184360354,84,0.9492941176470588,-234.6982787542462,144.0207176029729,-378.71899635721905,58,0.7208134895095893,167.88893502573288,143.34661994680297,24.542315078929825,70,0.9122163337409974,156.5678691378469,188.97238171266886,-32.40451257482201,76,0.8534492889881302,777.4735239248187,138.15683744306907,639.3166864817496,75,0.9117683151306909,-987.9920889953642,2085.5174764213634,-3073.5095654167276,642,0.842445178732352,167.88893502573288,143.34661994680297,24.542315078929825,70,0.9122163337409974,934.0413930626656,327.12921915573787,606.9121739069277,151,0.8819786288870213,0.0,-1179.025184360354,-2442.05507643087
flip_short_uptrend_multi_day_trend_premium_lb1950_thr100_flip,sign_flip_gross,117.21841238639286,214.9815133303403,-97.76310094394756,66,0.7964233219010289,180.19614023430995,237.25871614060762,-57.062575906297596,76,0.9412294238683128,-37.457257548947354,246.49873594265054,-283.95599349159784,82,0.9173974875562929,-100.10513118720255,168.66393071504186,-268.76906190224435,60,0.7138121546961326,-97.90211446753183,161.28886609843474,-259.1909805659666,68,0.8011049723756906,-189.8659111666223,273.9304391902017,-463.79635035682406,86,0.9274373881932021,-12.463530508890486,353.5225755403694,-365.98610604925994,62,0.7929862715780889,893.6732024996097,285.35198186074444,608.3212206388653,84,0.9492941176470588,234.6982787542462,144.0207176029729,90.67756115127335,58,0.7208134895095893,-167.88893502573288,143.34661994680297,-311.23555497253585,70,0.9122163337409974,-156.5678691378469,188.97238171266886,-345.5402508505158,76,0.8534492889881302,-777.4735239248187,138.15683744306907,-915.6303613678876,75,0.9117683151306909,0.0,0.0,0.0,0,0.0,-12.463530508890486,353.5225755403694,-365.98610604925994,62,0.7929862715780889,893.6732024996097,285.35198186074444,608.3212206388653,84,0.9492941176470588,234.6982787542462,144.0207176029729,90.67756115127335,58,0.7208134895095893,-167.88893502573288,143.34661994680297,-311.23555497253585,70,0.9122163337409974,-156.5678691378469,188.97238171266886,-345.5402508505158,76,0.8534492889881302,-777.4735239248187,138.15683744306907,-915.6303613678876,75,0.9117683151306909,987.9920889953642,2085.5174764213634,-1097.5253874259993,642,0.842445178732352,-167.88893502573288,143.34661994680297,-311.23555497253585,70,0.9122163337409974,-934.0413930626656,327.12921915573787,-1261.1706122184034,151,0.8819786288870213,0.2222222222222222,-463.79635035682406,-2669.9315546169382
