selection_type,decision,reason,strategy,gate_mode,state_kind,lookback_min,trend_threshold_bps,gate_action,m2025_05_gross_bps,m2025_05_cost_bps,m2025_05_net_bps,m2025_05_trades,m2025_05_avg_abs_position,m2025_06_gross_bps,m2025_06_cost_bps,m2025_06_net_bps,m2025_06_trades,m2025_06_avg_abs_position,m2025_07_gross_bps,m2025_07_cost_bps,m2025_07_net_bps,m2025_07_trades,m2025_07_avg_abs_position,m2025_08_gross_bps,m2025_08_cost_bps,m2025_08_net_bps,m2025_08_trades,m2025_08_avg_abs_position,m2025_09_gross_bps,m2025_09_cost_bps,m2025_09_net_bps,m2025_09_trades,m2025_09_avg_abs_position,m2025_10_gross_bps,m2025_10_cost_bps,m2025_10_net_bps,m2025_10_trades,m2025_10_avg_abs_position,m2025_11_gross_bps,m2025_11_cost_bps,m2025_11_net_bps,m2025_11_trades,m2025_11_avg_abs_position,m2025_12_gross_bps,m2025_12_cost_bps,m2025_12_net_bps,m2025_12_trades,m2025_12_avg_abs_position,m2026_01_gross_bps,m2026_01_cost_bps,m2026_01_net_bps,m2026_01_trades,m2026_01_avg_abs_position,m2026_02_gross_bps,m2026_02_cost_bps,m2026_02_net_bps,m2026_02_trades,m2026_02_avg_abs_position,m2026_03_gross_bps,m2026_03_cost_bps,m2026_03_net_bps,m2026_03_trades,m2026_03_avg_abs_position,m2026_04_gross_bps,m2026_04_cost_bps,m2026_04_net_bps,m2026_04_trades,m2026_04_avg_abs_position,m2026_05_gross_bps,m2026_05_cost_bps,m2026_05_net_bps,m2026_05_trades,m2026_05_avg_abs_position,nov_gross_bps,nov_cost_bps,nov_net_bps,nov_trades,nov_avg_abs_position,dec_gross_bps,dec_cost_bps,dec_net_bps,dec_trades,dec_avg_abs_position,jan_gross_bps,jan_cost_bps,jan_net_bps,jan_trades,jan_avg_abs_position,feb_gross_bps,feb_cost_bps,feb_net_bps,feb_trades,feb_avg_abs_position,mar_gross_bps,mar_cost_bps,mar_net_bps,mar_trades,mar_avg_abs_position,apr_gross_bps,apr_cost_bps,apr_net_bps,apr_trades,apr_avg_abs_position,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_avg_abs_position,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position,train_fold_positive_rate,train_worst_month_bps,all_net_bps,long_gross_bps,short_gross_bps,long_minutes,short_minutes,test_2x_cost_net_bps,train_selection_score,blocked_short_frac,blocked_long_frac
walk_forward_selected,no_trade,No no-short-into-uptrend rule passed train/validation filters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_oracle_not_selectable,diagnostic_only,best test row shown only to measure possible shape; not honest selection,short_uptrend_multi_day_trend_lb3900_thr200_flat,short_uptrend,multi_day_trend,3900.0,200.0,flat,-261.26961184767873,194.91417379551277,-456.1837856431915,58.0,0.6736893679568838,-71.1805090028772,351.09055205410453,-422.27106105698175,108.0,0.7013888888888888,-27.94774830730873,270.3399714161268,-298.2877197234355,104.0,0.7351268073003081,100.10513118720256,168.66393071504186,-68.55879952783934,60.0,0.7138121546961326,96.27023436757476,278.2398306614139,-181.96959629383915,166.0,0.7448741559238797,263.8275076056118,350.26245376391205,-86.4349461583003,138.0,0.7646466905187835,12.463530508890486,353.5225755403694,-341.05904503147906,62.0,0.7929862715780889,-961.782558096882,285.36605242401316,-1247.1486105208949,84.0,0.9492941176470588,-22.723235542825293,144.01277767073785,-166.7360132135631,58.0,0.7208134895095893,167.88893502573288,143.34661994680295,24.542315078929825,70.0,0.9122163337409974,156.5678691378469,188.9723817126689,-32.40451257482201,76.0,0.8534492889881302,45.45789338897599,50.764844412504345,-5.306951023528391,28.0,0.3194256964044668,0.0,0.0,0.0,0.0,0.0,12.463530508890486,353.5225755403694,-341.05904503147906,62.0,0.7929862715780889,-961.782558096882,285.36605242401316,-1247.1486105208949,84.0,0.9492941176470588,-22.723235542825293,144.01277767073785,-166.7360132135631,58.0,0.7208134895095893,167.88893502573288,143.34661994680295,24.542315078929825,70.0,0.9122163337409974,156.5678691378469,188.9723817126689,-32.40451257482201,76.0,0.8534492889881302,45.45789338897599,50.764844412504345,-5.306951023528391,28.0,0.3194256964044668,-872.2372591282923,2396.4123180412325,-3268.649577169525,838.0,0.7561648324640214,167.88893502573288,143.34661994680295,24.542315078929825,70.0,0.9122163337409974,202.02576252682292,239.7372261251732,-37.71146359835037,104.0,0.5922079481330291,0.0,-1247.1486105208949,-3281.8187256889455,228.4477946687602,-26.42203214193728,5226.0,4639.0,-277.4486897235235,-3498.0831558893988,0.1147190375816153,0.0
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_multi_day_trend_lb780_thr0_flat,short_uptrend,multi_day_trend,780.0,0.0,flat,-159.15976043552325,309.02865258727957,-468.1884130228028,88.0,0.5603870651641353,-149.36555538210604,619.4378714625976,-768.8034268447037,210.0,0.4618055555555556,-18.183922074870296,354.02181648307646,-372.20573855794686,202.0,0.5490637591846409,-74.42357498475438,183.9553163264436,-258.3788913111979,98.0,0.5650092081031307,289.9598900117084,275.1023063742657,14.85758363744271,120.0,0.5087783916513199,353.7998903927342,416.0674114487836,-62.267521056049354,188.0,0.5112924865831843,43.09489289998858,290.33020289096413,-247.23530999097568,74.0,0.6642653255403017,-754.3136777483284,436.20914920791944,-1190.522826956248,148.0,0.6207058823529412,-169.63146248569316,275.2214655209347,-444.8529280066278,132.0,0.4525678980563779,163.7107966005935,182.3006183903781,-18.58982178978473,94.0,0.8096208724011414,124.82100663207872,233.639507654005,-108.81850102192628,96.0,0.8507462686567164,-86.67765234172009,106.90424949187712,-193.5819018335972,95.0,0.2094735550374279,0.0,0.0,0.0,0.0,0.0,43.09489289998858,290.33020289096413,-247.23530999097568,74.0,0.6642653255403017,-754.3136777483284,436.20914920791944,-1190.522826956248,148.0,0.6207058823529412,-169.63146248569316,275.2214655209347,-444.8529280066278,132.0,0.4525678980563779,163.7107966005935,182.3006183903781,-18.58982178978473,94.0,0.8096208724011414,124.82100663207872,233.639507654005,-108.81850102192628,96.0,0.8507462686567164,-86.67765234172009,106.90424949187712,-193.5819018335972,95.0,0.2094735550374279,-638.2232798068444,3159.374192302265,-3797.5974721091097,1260.0,0.5433927742428794,163.7107966005935,182.3006183903781,-18.58982178978473,94.0,0.8096208724011414,38.14335429035864,340.5437571458821,-302.4004028555235,191.0,0.537039260415416,0.1111111111111111,-1190.522826956248,-4118.587696754418,228.4477946687602,-190.30444037840155,5226.0,3720.0,-642.9441600014056,-4150.354774968158,0.2951210734666598,0.0
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_multi_day_trend_lb780_thr50_flat,short_uptrend,multi_day_trend,780.0,50.0,flat,-302.69446027066493,311.1885625982608,-613.8830228689258,94.0,0.6049730524252818,102.58766413662634,599.1043386111539,-496.5166744745275,192.0,0.602366255144033,103.71925073439314,235.8033137044354,-132.08406297004225,140.0,0.7481630718179664,-46.76381643181848,166.21847785008643,-212.98229428190493,84.0,0.6259054634745242,150.60305094102944,267.6117194880658,-117.00866854703632,130.0,0.6498465316144875,246.2524384744036,403.3348109394301,-157.08237246502648,186.0,0.6573121645796064,31.873648293014867,391.02941864586114,-359.1557703528464,106.0,0.7002854424357755,-902.2019197579568,497.52043693198414,-1399.722356689941,152.0,0.7023529411764706,-71.22983682038786,274.58929510873196,-345.81913192911986,104.0,0.5357188827390913,200.3641788868382,183.620707519905,16.74347136693316,94.0,0.8401956787607012,141.88503333397938,196.1232980881786,-54.23826475419925,82.0,0.8515689270184511,-191.9714443836096,288.0814481095504,-480.05289249316,167.0,0.3251932752484967,0.0,0.0,0.0,0.0,0.0,31.873648293014867,391.02941864586114,-359.1557703528464,106.0,0.7002854424357755,-902.2019197579568,497.52043693198414,-1399.722356689941,152.0,0.7023529411764706,-71.22983682038786,274.58929510873196,-345.81913192911986,104.0,0.5357188827390913,200.3641788868382,183.620707519905,16.74347136693316,94.0,0.8401956787607012,141.88503333397938,196.1232980881786,-54.23826475419925,82.0,0.8515689270184511,-191.9714443836096,288.0814481095504,-480.05289249316,167.0,0.3251932752484967,-687.8539807013606,3146.400373878009,-3834.2543545793696,1188.0,0.6484338731259729,200.3641788868382,183.620707519905,16.74347136693316,94.0,0.8401956787607012,-50.086411049630186,484.204746197729,-534.2911572473593,249.0,0.5940689158362349,0.0,-1399.722356689941,-4351.8020404597955,228.4477946687602,-278.53420571839035,5226.0,4670.0,-1018.4959034450882,-4150.512991352228,0.2024471749524446,0.0
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_multi_day_trend_lb390_thr50_flat,short_uptrend,multi_day_trend,390.0,50.0,flat,-288.6426930941077,350.25106273922955,-638.8937558333373,110.0,0.6855707986281234,-116.9333865405342,772.9486397714718,-889.8820263120059,258.0,0.6909722222222222,18.95269104769781,483.8636863918142,-464.9109953441164,184.0,0.7325195543967765,75.62130739010797,231.96217424981833,-156.34086685971036,104.0,0.6238182934315532,206.12240357672283,269.57968302397444,-63.4572794472516,160.0,0.7069367710251688,396.3705140517337,470.39115645760813,-74.0206424058744,186.0,0.7016994633273703,39.91826349644789,359.24441901603,-319.32615551958224,82.0,0.6733722984912328,-1047.939901380017,501.79463962360336,-1549.7345410036207,182.0,0.8783529411764706,29.584552428882915,274.38580927937375,-244.80125685049083,130.0,0.5074012099369288,197.4983884027992,146.22360771602078,51.27478068677836,76.0,0.8410110069302894,274.7991730717203,213.23818212327637,61.560990948443816,84.0,0.8288870607591962,-692.7064846532094,309.3868403090638,-1002.0933249622732,183.0,0.501165787213155,0.0,0.0,0.0,0.0,0.0,39.91826349644789,359.24441901603,-319.32615551958224,82.0,0.6733722984912328,-1047.939901380017,501.79463962360336,-1549.7345410036207,182.0,0.8783529411764706,29.584552428882915,274.38580927937375,-244.80125685049083,130.0,0.5074012099369288,197.4983884027992,146.22360771602078,51.27478068677836,76.0,0.8410110069302894,274.7991730717203,213.23818212327637,61.560990948443816,84.0,0.8288870607591962,-692.7064846532094,309.3868403090638,-1002.0933249622732,183.0,0.501165787213155,-686.946249023066,3714.421270552923,-4401.367519575989,1396.0,0.6912804828094705,197.4983884027992,146.22360771602078,51.27478068677836,76.0,0.8410110069302894,-417.907311581489,522.6250224323402,-940.5323340138297,267.0,0.6685676551806939,0.0,-1549.7345410036207,-5290.62507290304,228.4477946687602,-646.3551062502493,5226.0,5911.0,-1463.1573564461694,-4736.157226716105,0.1567425839288468,0.0
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_intraday_trend_lb120_thr25_flat,short_uptrend,intraday_trend,120.0,25.0,flat,-321.9377392663869,323.8675537151177,-645.8052929815046,128.0,0.6864282214600685,-198.80410287535176,730.2836520254019,-929.0877549007536,244.0,0.847608024691358,-68.410282145841,464.8605181659833,-533.2708003118242,236.0,0.8275657738800664,80.9417083270958,223.29811594341064,-142.35640761631487,106.0,0.6655616942909761,160.14814585597392,260.9549771793537,-100.80683132337973,174.0,0.7355432780847145,300.0539865613572,610.783698528441,-310.72971196708403,248.0,0.7962880143112702,-67.44210796850503,538.6417051713839,-606.0838131398891,128.0,0.7322278102487427,-1003.1391927602052,417.3730992797811,-1420.5122920399865,154.0,0.9037647058823528,-112.61117538701626,309.20458621268943,-421.81576159970575,214.0,0.6106319989702664,51.776356203161455,226.732528391346,-174.9561721881847,116.0,0.8005163745074059,153.02287632959377,270.05006969442775,-117.02719336483408,162.0,0.7975085203901751,-698.0577106420327,588.2481152102872,-1286.30582585232,309.0,0.7168977788685729,0.0,0.0,0.0,0.0,0.0,-67.44210796850503,538.6417051713839,-606.0838131398891,128.0,0.7322278102487427,-1003.1391927602052,417.3730992797811,-1420.5122920399865,154.0,0.9037647058823528,-112.61117538701626,309.20458621268943,-421.81576159970575,214.0,0.6106319989702664,51.776356203161455,226.732528391346,-174.9561721881847,116.0,0.8005163745074059,153.02287632959377,270.05006969442775,-117.02719336483408,162.0,0.7975085203901751,-698.0577106420327,588.2481152102872,-1286.30582585232,309.0,0.7168977788685729,-1231.2007596588792,3879.267906221563,-5110.468665880442,1632.0,0.7581446789917802,51.776356203161455,226.732528391346,-174.9561721881847,116.0,0.8005163745074059,-545.034834312439,858.298184904715,-1403.3330192171543,471.0,0.7580741985832633,0.0,-1420.5122920399865,-6688.757857285781,228.4477946687602,-773.4826289811991,5226.0,7402.0,-2261.631204121869,-5696.024881529917,0.0957071615855226,0.0
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_multi_day_trend_lb390_thr0_flat,short_uptrend,multi_day_trend,390.0,0.0,flat,-300.21749672072497,419.885938176683,-720.103434897408,120.0,0.5607545320921117,-1.4868583028881943,683.558439540301,-685.0452978431891,244.0,0.4593621399176955,34.15216134465382,477.60609124752415,-443.4539299028704,248.0,0.5316425693292249,35.05572191317974,200.8153663544451,-165.7596444412654,76.0,0.5807243707796194,135.3843166280022,294.0625483594528,-158.67823173145052,162.0,0.5357888275015347,192.39789000173425,487.45427634659904,-295.0563863448648,216.0,0.5584749552772809,30.256718789765102,606.1948281619423,-575.9381093721772,122.0,0.6470028544243578,-964.2738410039263,643.5805172233526,-1607.854358227279,222.0,0.666235294117647,-167.88331878637484,317.0463543917901,-484.92967317816493,134.0,0.3916849015317287,-26.004239133810003,204.81942684396816,-230.8236659777784,108.0,0.8204919146623183,173.93188576141583,318.9738229523223,-145.04193719090648,144.0,0.7872840521800447,-489.25806509153347,322.62956952175097,-811.8876346132845,197.0,0.3595533194256964,0.0,0.0,0.0,0.0,0.0,30.256718789765102,606.1948281619423,-575.9381093721772,122.0,0.6470028544243578,-964.2738410039263,643.5805172233526,-1607.854358227279,222.0,0.666235294117647,-167.88331878637484,317.0463543917901,-484.92967317816493,134.0,0.3916849015317287,-26.004239133810003,204.81942684396816,-230.8236659777784,108.0,0.8204919146623183,173.93188576141583,318.9738229523223,-145.04193719090648,144.0,0.7872840521800447,-489.25806509153347,322.62956952175097,-811.8876346132845,197.0,0.3595533194256964,-1006.6147061365792,4130.20435980209,-5136.819065938669,1544.0,0.5487724951527896,-26.004239133810003,204.81942684396816,-230.8236659777784,108.0,0.8204919146623183,-315.3261793301176,641.6033924740733,-956.9295718041908,341.0,0.5780405811021732,0.0,-1607.854358227279,-6324.572303720639,228.4477946687602,-543.7739739988779,5226.0,4403.0,-1598.5329642782642,-5801.145110581054,0.2826487070073518,0.0
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_intraday_trend_lb120_thr0_flat,short_uptrend,intraday_trend,120.0,0.0,flat,-411.2447405471364,499.05124948582994,-910.2959900329664,148.0,0.6186918177364037,-192.374435866709,711.3072699668402,-903.681705833549,266.0,0.6715534979423868,15.08013316367851,714.2975855999724,-699.2174524362938,356.0,0.6086750414790235,163.2385194848851,271.88382703851084,-108.6453075536258,124.0,0.6170656844689993,126.76949363971346,298.32687925960914,-171.55738561989563,208.0,0.627255985267035,183.6560289821776,700.6036150341416,-516.947586051964,386.0,0.6527280858676208,-70.62219316580354,626.1433878694395,-696.765581035243,152.0,0.6779937474514068,-939.1860616269998,632.8844738292236,-1572.0705354562233,264.0,0.7961176470588235,-144.0938404850467,377.5416766478695,-521.6355171329162,244.0,0.5146093448320247,162.49434414842943,184.59585720888865,-22.10151306045925,144.0,0.7693980160347873,112.4100253553717,408.2533127799539,-295.8432874245823,178.0,0.7513221295099307,-568.7047393346845,544.7109018792221,-1113.4156412139066,257.0,0.5698858755675543,0.0,0.0,0.0,0.0,0.0,-70.62219316580354,626.1433878694395,-696.765581035243,152.0,0.6779937474514068,-939.1860616269998,632.8844738292236,-1572.0705354562233,264.0,0.7961176470588235,-144.0938404850467,377.5416766478695,-521.6355171329162,244.0,0.5146093448320247,162.49434414842943,184.59585720888865,-22.10151306045925,144.0,0.7693980160347873,112.4100253553717,408.2533127799539,-295.8432874245823,178.0,0.7513221295099307,-568.7047393346845,544.7109018792221,-1113.4156412139066,257.0,0.5698858755675543,-1268.777096421241,4832.039964731437,-6100.817061152677,2148.0,0.6435866626614599,162.49434414842943,184.59585720888865,-22.10151306045925,144.0,0.7693980160347873,-456.29471397931275,952.964214659176,-1409.258928638489,435.0,0.6625645335574498,0.0,-1572.0705354562233,-7532.177502851625,228.4477946687602,-684.742508648073,5226.0,5811.0,-2362.2231432976646,-6624.582156407168,0.1995681455966274,0.0
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_intraday_trend_lb60_thr25_flat,short_uptrend,intraday_trend,60.0,25.0,flat,-435.0757325675758,604.2182379398557,-1039.2939705074316,194.0,0.6740568348848603,-166.09832403853275,685.7743968022969,-851.8727208408297,260.0,0.8352623456790124,-112.95846448984292,549.2323066777014,-662.1907711675444,246.0,0.8157146243185589,3.7849681500734538,295.1017085679601,-291.3167404178867,134.0,0.6658072437077962,181.17854494817288,245.68218757250312,-64.50364262433024,140.0,0.7542050337630448,244.88267396775677,822.8537926744401,-577.9711187066836,356.0,0.7976296958855098,-35.598005689179146,603.9194176852186,-639.5174233743977,136.0,0.7424221829550088,-1003.4119165856748,420.3088061620249,-1423.7207227476997,148.0,0.916,-135.34904749151087,446.3591517742466,-581.7081992657573,204.0,0.6640494272107093,70.73531676422995,225.20882570885985,-154.47350894462994,132.0,0.7817638266068759,19.56478764268965,353.02448417884267,-333.4596965361531,168.0,0.7837583734868963,-572.9680615629285,602.0589839522129,-1175.0270455151413,341.0,0.7317462265308626,0.0,0.0,0.0,0.0,0.0,-35.598005689179146,603.9194176852186,-639.5174233743977,136.0,0.7424221829550088,-1003.4119165856748,420.3088061620249,-1423.7207227476997,148.0,0.916,-135.34904749151087,446.3591517742466,-581.7081992657573,204.0,0.6640494272107093,70.73531676422995,225.20882570885985,-154.47350894462994,132.0,0.7817638266068759,19.56478764268965,353.02448417884267,-333.4596965361531,168.0,0.7837583734868963,-572.9680615629285,602.0589839522129,-1175.0270455151413,341.0,0.7317462265308626,-1458.645303796313,4673.450005856247,-6132.095309652561,1818.0,0.7644665337666239,70.73531676422995,225.20882570885985,-154.47350894462994,132.0,0.7817638266068759,-553.4032739202388,955.0834681310556,-1508.4867420512946,509.0,0.758314323448193,0.0,-1423.7207227476997,-7795.055560648486,228.4477946687602,-781.8510685889989,5226.0,7406.0,-2463.57021018235,-6776.434701753702,0.0933113978715747,0.0
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_intraday_trend_lb60_thr0_flat,short_uptrend,intraday_trend,60.0,0.0,flat,-230.3702467348856,752.0492264072892,-982.4194731421748,222.0,0.5737383635472807,-338.8365035678564,1148.5014728446586,-1487.337976412515,476.0,0.5811471193415638,-337.2561440113309,1043.8369754224404,-1381.093119433771,646.0,0.5612704432329936,-40.19425591243575,351.2921030953392,-391.486359007775,186.0,0.5980356046654389,196.29146749712945,490.4476835634408,-294.1562160663113,370.0,0.5851442602823819,70.13689341255791,993.973154058373,-923.8362606458152,490.0,0.5701028622540251,11.69892000053352,929.8598810140272,-918.160961013494,220.0,0.6508087535680305,-1036.543293943737,979.8345892569204,-2016.3778832006576,412.0,0.780235294117647,-144.82521398083924,458.0099052392439,-602.8351192200832,332.0,0.4551422319474836,69.80818968264302,284.07534130467474,-214.2671516220318,172.0,0.7389590977034923,-174.65111581512537,430.3043362312871,-604.9554520464126,228.0,0.7081913268304149,-346.99701125703973,705.4753162567262,-1052.472327513766,391.0,0.5223953859369248,0.0,0.0,0.0,0.0,0.0,11.69892000053352,929.8598810140272,-918.160961013494,220.0,0.6508087535680305,-1036.543293943737,979.8345892569204,-2016.3778832006576,412.0,0.780235294117647,-144.82521398083924,458.0099052392439,-602.8351192200832,332.0,0.4551422319474836,69.80818968264302,284.07534130467474,-214.2671516220318,172.0,0.7389590977034923,-174.65111581512537,430.3043362312871,-604.9554520464126,228.0,0.7081913268304149,-346.99701125703973,705.4753162567262,-1052.472327513766,391.0,0.5223953859369248,-1849.898377240864,7147.804990901734,-8997.703368142598,3354.0,0.5957426472596193,69.80818968264302,284.07534130467474,-214.2671516220318,172.0,0.7389590977034923,-521.6481270721652,1135.7796524880132,-1657.4277795601784,619.0,0.6173009965181895,0.0,-2016.3778832006576,-10869.39829932481,228.4477946687602,-750.0959217409253,5226.0,5057.0,-2793.2074320481915,-9955.158552985273,0.245149349647833,0.0
