pair,stock,spread_type,entry_z,exit_z,execution_scenario,sample,gross_bps,cost_bps,net_bps,trades,avg_abs_position
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,train,492.5321393879667,1884.745694061906,-1392.21355467394,434,0.6885625746289873
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,validation,676.636296477815,220.87963123468722,455.75666524312777,54,0.6714648602878917
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,test,453.34519206418736,438.81485127548666,14.530340788700691,124,0.692450151243904
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,train,-19.624663155513034,1743.3275978660301,-1762.952261021543,433,0.6885625746289873
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,validation,524.3048617621238,208.32002201537532,315.98483974674843,54,0.6714648602878917
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,test,216.05521382412894,483.0470387429991,-266.9918249188701,125,0.692450151243904
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,train,-120.98633728641062,1926.8337072054298,-2047.820044491841,431,0.6866293284812646
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,validation,453.15250698770626,188.063556197918,265.08895078978827,54,0.6694891335026814
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,test,103.99332787528692,385.2315357872657,-281.2382079119788,123,0.6904747206617693
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,train,-267.4116430961959,1771.599976626914,-2039.0116197231098,423,0.6809006652641155
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,validation,290.8667389050556,233.4484162322425,57.41832267281321,54,0.6635619531470506
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,test,39.853789899240155,348.1564234503291,-308.3026335510888,123,0.6847336255324403
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,train,-98.87482094813826,0.0,-98.87482094813826,434,0.6885625746289873
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,validation,650.4295381192637,0.0,650.4295381192637,54,0.6714648602878917
XLK-AMD,AMD,direct_log_price,1.0,0.5,clipped_last_trade_proxy,test,383.0414123886072,0.0,383.0414123886072,124,0.692450151243904
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,train,323.5225649634366,1412.9587224629158,-1089.4361574994794,414,0.7114345823619719
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,validation,540.4090563194242,123.45302218510552,416.95603413431866,40,0.5690093141405589
XLK-PLTR,PLTR,price_regression_residual,1.0,0.5,exact_bidask_latency0,test,254.2824112938913,256.5313549823614,-2.2489436884701175,102,0.6370763627384406
