pair,stock,spread_type,entry_z,exit_z,execution_scenario,month,gross_bps,cost_bps,net_bps,trades
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2025-05,153.74569828741969,174.18580032204918,-20.440102034629486,52
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2025-06,176.7153730479265,360.30502464196286,-183.58965159403627,52
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2025-07,339.22675606217643,337.23341564730254,1.9933404148738885,68
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2025-08,181.50277750570433,115.06789147826281,66.43488602744152,44
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2025-09,328.79625622803667,157.5330577267252,171.2631985013115,44
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2025-10,-86.66260141171556,169.56172780208132,-256.224329213797,52
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2025-11,177.1133864369201,293.3777416184178,-116.26435518149768,42
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2025-12,-523.7927195453462,142.563028862744,-666.3557484080902,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2026-01,-254.11278722315524,134.91800596236084,-389.0307931855161,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2026-02,676.636296477815,220.87963123468722,455.75666524312777,54
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2026-03,697.214322794597,270.4073372320479,426.8069855625491,74
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency0,2026-04,-243.86913073040972,168.4075140434387,-412.2766447738484,50
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2025-05,131.58609514514197,216.00838875662242,-84.42229361148044,51
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2025-06,8.981291163037142,270.0843402982035,-261.1030491351663,52
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2025-07,174.28739027221417,215.43358512051176,-41.146194848297554,68
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2025-08,131.6761928535559,90.13591688728701,41.540275966268915,45
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2025-09,328.3762129108769,180.57993291474818,147.79627999612873,43
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2025-10,-74.9509550376537,208.6965793476903,-283.647534385344,53
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2025-11,46.42521756379914,246.7022001750334,-200.27698261123422,41
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2025-12,-490.08643408874343,193.01493153493342,-683.1013656236769,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2026-01,-275.9196739377412,122.67172283100031,-398.5913967687414,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2026-02,524.3048617621238,208.32002201537532,315.98483974674843,54
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2026-03,576.2267847723557,314.45428536197875,261.7724994103769,75
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency1,2026-04,-360.1715709482267,168.59275338102032,-528.7643243292471,50
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2025-05,137.36889697921305,234.36489518845846,-96.99599820924536,50
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2025-06,-1.7248081706711105,359.05101702791404,-360.77582519858515,51
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2025-07,190.84364221576777,242.2264923975544,-51.38285018178663,68
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2025-08,133.8667070123556,114.67640022217638,19.19030679017918,45
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2025-09,320.2440210608693,225.03695765812787,95.20706340274135,43
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2025-10,-146.01731248673033,192.70897293085184,-338.7262854175822,53
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2025-11,73.45776606974219,209.968380459509,-136.5106143897668,41
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2025-12,-514.1653343463304,227.33518323350071,-741.5005175798311,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2026-01,-314.8599156206267,121.46540808733734,-436.32532370796395,40
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2026-02,453.15250698770626,188.063556197918,265.08895078978827,54
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2026-03,525.8386516628999,238.18755932253708,287.6510923403628,73
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency2,2026-04,-421.845323787613,147.04397646472867,-568.8893002523416,50
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2025-05,124.08702255306991,219.6618277374223,-95.57480518435236,50
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2025-06,79.66714515737827,303.9744485895737,-224.30730343219537,49
XLK-AMD,AMD,direct_log_price,1.0,0.5,exact_bidask_latency5,2025-07,122.72068897565269,223.82442223012617,-101.10373325447348,66
