signal_view,hedge_method,subset,k,betas,sum_beta,train_adf_p,train_half_life_minutes,train_std_bps,full_hedge_avg_oneway_cost_bps,candidate_score_low_is_good
mid,ridge_pos,NVDA AMD PLTR LRCX AMAT,5,NVDA:0.21519 AMD:0.07371 PLTR:0.10799 LRCX:0.07912 AMAT:0.05817,0.534179572133673,0.022035652990962544,352.0389750832498,69.56850780882836,4.959001310345381,0.30400858093314864
micro_shrink_0.5,ridge_pos,NVDA AMD PLTR LRCX AMAT,5,NVDA:0.20670 AMD:0.07807 PLTR:0.10648 LRCX:0.07965 AMAT:0.05823,0.529127431048375,0.028181034003455004,364.985043466183,69.36776259153453,4.968968761365287,0.3148338995465185
micro_conf_0.5,ridge_pos,NVDA AMD PLTR LRCX AMAT,5,NVDA:0.21437 AMD:0.07427 PLTR:0.10806 LRCX:0.07908 AMAT:0.05836,0.5341387428261596,0.030621183005421215,365.54919369249166,69.76202684853261,4.963785230734095,0.31753904499041197
mid,ridge_pos,NVDA AMD PLTR,3,NVDA:0.24364 AMD:0.08843 PLTR:0.12110,0.4531699869974514,0.053050550897114836,505.35871537535405,86.67685692977983,3.6460394895670722,0.3644155169825555
micro_conf_0.5,ridge_pos,NVDA AMD PLTR,3,NVDA:0.24283 AMD:0.08909 PLTR:0.12119,0.45310218938406155,0.05563882307905932,524.0445010343767,86.96338231426745,3.6495003099540626,0.3737735973470765
micro_shrink_0.5,ridge_pos,NVDA AMD PLTR,3,NVDA:0.23428 AMD:0.09342 PLTR:0.11947,0.44717956762329764,0.05809532593217223,532.9026329061081,87.25366376765365,3.6520481977151418,0.37953928427601547
mid,ridge_pos,NVDA AAPL MSFT AVGO,4,NVDA:0.28824 AAPL:0.08434 MSFT:0.07734 AVGO:0.10622,0.5561368873576759,0.7317572729954489,2726.0034458280215,202.69737605751595,4.098586517556718,1.8896718300029323
micro_conf_0.5,ridge_pos,NVDA AAPL MSFT AVGO,4,NVDA:0.28739 AAPL:0.08529 MSFT:0.07803 AVGO:0.10687,0.5575879542422459,0.7326270973973561,2783.0246573176387,201.74357976214827,4.109420657496219,1.9102930337770092
mid,ridge_pos,NVDA AAPL MSFT AVGO MU,5,NVDA:0.24999 AAPL:0.07859 MSFT:0.07267 AVGO:0.08833 MU:0.08995,0.579530955661654,0.806729395830505,2647.822261999356,186.8397834258564,4.619679009729821,1.9423790544864534
mid,ridge_pos,NVDA AAPL MSFT,3,NVDA:0.32822 AAPL:0.09222 MSFT:0.08582,0.5062580640797734,0.6694762036244798,3109.4678134088617,230.53701007778687,3.483879408898264,1.9601554285789313
micro_shrink_0.5,ridge_pos,NVDA AAPL MSFT AVGO,4,NVDA:0.27695 AAPL:0.08867 MSFT:0.08128 AVGO:0.11008,0.5569736399996226,0.7534100519197535,2874.895686445718,202.59063462132346,4.138360193974076,1.9643778643357686
micro_conf_0.5,ridge_pos,NVDA AAPL MSFT AVGO MU,5,NVDA:0.24926 AAPL:0.07950 MSFT:0.07334 AVGO:0.08886 MU:0.09000,0.580961089074571,0.8072643183184578,2712.427184917307,185.98860341030206,4.6300417332783,1.965359178076624
micro_conf_0.5,ridge_pos,NVDA AAPL MSFT,3,NVDA:0.32744 AAPL:0.09326 MSFT:0.08667,0.5073679316418824,0.6691372561620681,3164.1529017847797,229.49577137846015,3.4912446396609083,1.978619773467494
micro_shrink_0.5,ridge_pos,NVDA AAPL MSFT AVGO MU,5,NVDA:0.24018 AAPL:0.08249 MSFT:0.07647 AVGO:0.09145 MU:0.09031,0.5809052079480606,0.8248062212187627,2841.1249229858604,188.06345988408208,4.65866688151364,2.0296983462436957
micro_shrink_0.5,ridge_pos,NVDA AAPL MSFT,3,NVDA:0.31663 AAPL:0.09730 MSFT:0.09054,0.504465692694067,0.6889575143141726,3293.7402779870376,231.9606505183702,3.5011848411619204,2.045276557897869
