cost_multiplier,sample,gross_bps,cost_bps,net_bps
1.0,train,465.76021417285676,130.0725177754376,335.68769639741913
1.0,test,-186.45367767955003,15.760042308689796,-202.2137199882398
1.5,train,465.76021417285676,195.10877666315636,270.6514375097003
1.5,test,-186.45367767955003,23.64006346303469,-210.09374114258472
2.0,train,465.76021417285676,260.1450355508752,205.6151786219815
2.0,test,-186.45367767955003,31.52008461737959,-217.9737622969296
3.0,train,465.76021417285676,390.2175533263127,75.54266084654388
3.0,test,-186.45367767955003,47.28012692606938,-233.7338046056194
4.0,train,465.76021417285676,520.2900711017504,-54.52985692889364
4.0,test,-186.45367767955003,63.04016923475918,-249.49384691430922
