strategy,family,signal_view,hedge_method,subset,betas,threshold_mode,center_mode,entry,exit_band,hedge_fraction,orientation,cost_gate_mult,center_window,trade_start,trade_end,max_hold_minutes,train_observations,train_trades,train_avg_abs_position,train_gross_bps,train_cost_bps,train_net_bps,train_sharpe_ann,train_max_drawdown_bps,train_long_gross_bps,train_short_gross_bps,test_observations,test_trades,test_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_sharpe_ann,test_max_drawdown_bps,test_long_gross_bps,test_short_gross_bps,fold_median_net_bps,fold_min_net_bps,fold_std_net_bps,fold_positive_rate,train_month_positive_rate,train_month_min_net_bps,train_month_median_net_bps,base_train_selection_score,family_median_train_net_bps,family_mean_train_net_bps,family_std_train_net_bps,family_positive_rate,family_rule_count,final_train_selection_score
xlk_only_timing_micro_conf_0.5_ridge_pos_k3_zscore_mean_e3_x0.5_h0_contra_nogate_cw1950_mh180,xlk_only_timing,micro_conf_0.5,ridge_pos,NVDA AAPL MSFT,NVDA:0.31849 AAPL:0.08602 MSFT:0.06675,zscore,mean,3.0,0.5,0.0,1,0.0,1950,09:35,15:45,180,77434,54.0,0.04752434331172353,465.76021417285676,130.0725177754376,335.68769639741913,0.9560180116115548,-215.8795850054859,377.9544402331147,87.80577393974198,16199,16.0,0.07284400271621705,-186.45367767955003,15.760042308689796,-202.2137199882398,-2.147613865333675,-379.12440721824345,-44.80697824436497,-141.64669943518504,75.27089409227713,0.0,96.50461595073936,0.75,0.5,-135.15282254172362,18.160936427570984,149.01409826954276,335.68769639741913,335.68769639741913,0.0,1.0,1,358.6423312881233
xlk_only_timing_mid_ridge_pos_k4_zscore_mean_e3_x0.5_h0_contra_nogate_cw1950_mh180,xlk_only_timing,mid,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28804 AAPL:0.08111 MSFT:0.06166 AVGO:0.08202,zscore,mean,3.0,0.5,0.0,1,0.0,1950,09:35,15:45,180,77434,48.0,0.04403750290570034,382.6974098913105,92.47177415712022,290.2256357341903,0.9032151781793084,-181.06889113372756,280.1645980568157,102.53281183449481,16199,10.0,0.05136119513550219,-347.02050391071106,5.630706113373733,-352.6512100240848,-4.988581443544204,-388.12589839605903,-177.24345483144612,-169.77704907926494,61.4156231729462,-19.00790992569768,88.88605945636986,0.75,0.5,-77.64622240625123,24.404939203030175,138.1329722343049,290.2256357341903,290.2256357341903,0.0,1.0,1,322.7570718881096
xlk_only_timing_micro_conf_0.5_ridge_pos_k4_zscore_mean_e3_x0.5_h0_contra_nogate_cw1950_mh180,xlk_only_timing,micro_conf_0.5,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28764 AAPL:0.08170 MSFT:0.06178 AVGO:0.08251,zscore,mean,3.0,0.5,0.0,1,0.0,1950,09:35,15:45,180,77434,48.0,0.04423121626159052,375.86592681074114,83.8578920039576,292.0080348067836,0.9079160484249204,-181.06889113372762,283.90575755711467,91.96016925362649,16199,8.0,0.04000246928822767,-256.4974032593259,3.8289904278037876,-260.3263936871297,-4.555177883243771,-271.3768677014546,-177.24345483144612,-79.2539484278798,58.53823390149897,-19.00790992569768,93.11186972808257,0.75,0.5,-77.64622240625123,21.796220852468252,134.7969011817301,292.0080348067836,292.0080348067836,0.0,1.0,1,320.4013203254611
xlk_only_timing_mid_ridge_pos_k3_zscore_mean_e3_x0.5_h0_contra_nogate_cw1950_mh180,xlk_only_timing,mid,ridge_pos,NVDA AAPL MSFT,NVDA:0.31879 AAPL:0.08537 MSFT:0.06656,zscore,mean,3.0,0.5,0.0,1,0.0,1950,09:35,15:45,180,77434,54.0,0.048454167419996384,390.0108822975756,145.4277737434818,244.58310855409385,0.6850618440872518,-251.97233011997773,300.94765092116836,89.06323137640726,16199,18.0,0.07944934872522995,-190.48620856301213,33.673955408156694,-224.16016397116886,-2.326655084972499,-400.28848253211964,-48.839509127827085,-141.64669943518504,48.62152475017696,0.0,69.265599904595,0.75,0.4,-131.73530432614066,0.0,77.5345356228353,244.58310855409385,244.58310855409385,0.0,1.0,1,237.05524532758693
partial_or_full_hedge_micro_conf_0.5_ridge_pos_k3_zscore_mean_e3_x0.5_h1_contra_nogate_cw1950_mh180,partial_or_full_hedge,micro_conf_0.5,ridge_pos,NVDA AAPL MSFT,NVDA:0.31849 AAPL:0.08602 MSFT:0.06675,zscore,mean,3.0,0.5,1.0,1,0.0,1950,09:35,15:45,180,77434,54.0,0.04752434331172353,357.28212055610135,248.68803090896245,108.59408964713897,0.4365208466557317,-118.20290228012178,341.56485125460654,15.717269301494868,16199,16.0,0.07284400271621705,-137.2848974101671,36.16181429988206,-173.4467117100492,-2.2928155510427413,-241.74048953589545,-53.98274159685206,-83.30215581331507,22.973786725125183,0.0,29.78249652668867,0.75,0.5,-44.15097268281645,5.845558585144646,58.231721405019755,108.59408964713897,108.59408964713897,0.0,1.0,1,142.9584707109462
xlk_only_timing_micro_shrink_0.5_ridge_pos_k4_zscore_mean_e3_x0.5_h0_contra_nogate_cw1950_mh180,xlk_only_timing,micro_shrink_0.5,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28038 AAPL:0.08404 MSFT:0.06376 AVGO:0.08479,zscore,mean,3.0,0.5,0.0,1,0.0,1950,09:35,15:45,180,77434,40.0,0.03870392850685745,207.63859629864712,64.2332188412206,143.4053774574265,0.46853928646324333,-171.45078534723405,249.1125529014493,-41.473956602802176,16199,14.0,0.057719612321748257,-283.2817254549092,21.599909500238873,-304.881634955148,-4.124521711504061,-343.4186618717605,-204.02777702702934,-79.2539484278798,29.79389353420043,-89.44269122149433,114.5159468148203,0.5,0.4,-89.44269122149433,0.0,-5.512349917236042,143.4053774574265,143.4053774574265,0.0,1.0,1,98.36060768434855
partial_or_full_hedge_mid_ridge_pos_k3_zscore_mean_e3_x0.5_h1_contra_nogate_cw1950_mh180,partial_or_full_hedge,mid,ridge_pos,NVDA AAPL MSFT,NVDA:0.31879 AAPL:0.08537 MSFT:0.06656,zscore,mean,3.0,0.5,1.0,1,0.0,1950,09:35,15:45,180,77434,54.0,0.048454167419996384,324.65684175081685,263.5903780207783,61.06646373003867,0.24217933517534762,-140.73826637495506,310.02433589523025,14.63250585558665,16199,18.0,0.07944934872522995,-135.54548684627642,53.91688512104091,-189.46237196731732,-2.4386119576256418,-260.79435061033683,-52.09177043050428,-83.45371641577206,7.284034092849584,0.0,21.239423027369277,0.75,0.3,-41.921742877039065,0.0,12.26360492950437,61.06646373003867,61.06646373003867,0.0,1.0,1,70.85015998102564
partial_or_full_hedge_micro_conf_0.5_ridge_pos_k4_zscore_mean_e3_x0.5_h1_contra_nogate_cw1950_mh180,partial_or_full_hedge,micro_conf_0.5,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28764 AAPL:0.08170 MSFT:0.06178 AVGO:0.08251,zscore,mean,3.0,0.5,1.0,1,0.0,1950,09:35,15:45,180,77434,48.0,0.04423121626159052,238.98763558610216,199.62758254241692,39.36005304368525,0.17140201030814423,-127.98437836029206,166.40966281876814,72.57797276733399,16199,8.0,0.04000246928822767,-192.19564950447955,19.15893471632931,-211.35458422080885,-4.522842743386795,-218.32829482148784,-120.47598638517069,-71.71966311930882,7.367707576256876,-15.479877915991198,23.258928865935985,0.75,0.4,-22.31083107413958,0.0,10.550867257996169,39.36005304368525,39.36005304368525,0.0,1.0,1,57.198896432023055
partial_or_full_hedge_mid_ridge_pos_k4_zscore_mean_e3_x0.5_h1_contra_nogate_cw1950_mh180,partial_or_full_hedge,mid,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28804 AAPL:0.08111 MSFT:0.06166 AVGO:0.08202,zscore,mean,3.0,0.5,1.0,1,0.0,1950,09:35,15:45,180,77434,48.0,0.04403750290570034,246.0225875569219,205.31887735258172,40.70371020434021,0.1774965254831535,-134.60508901489032,168.65973428744857,77.36285326947333,16199,10.0,0.05136119513550219,-216.38713523128956,30.4485004596249,-246.83563569091447,-4.326647875360901,-284.8430282014131,-120.61025837893013,-95.77687685235942,3.2915111123363436,-6.040230804284336,21.78796770814623,0.5,0.4,-29.26109632159993,0.0,0.8503604103974638,40.70371020434021,40.70371020434021,0.0,1.0,1,48.23740102278458
partial_or_full_hedge_micro_shrink_0.5_ridge_pos_k4_zscore_mean_e3_x0.5_h1_contra_nogate_cw1950_mh180,partial_or_full_hedge,micro_shrink_0.5,ridge_pos,NVDA AAPL MSFT AVGO,NVDA:0.28038 AAPL:0.08404 MSFT:0.06376 AVGO:0.08479,zscore,mean,3.0,0.5,1.0,1,0.0,1950,09:35,15:45,180,77434,40.0,0.03870392850685745,175.73136077205723,164.08560042511905,11.645760346938172,0.05479584573601317,-102.14484787972341,162.09801080131484,13.633349970742378,16199,14.0,0.057719612321748257,-155.44651794880292,46.64091049393537,-202.08742844273834,-3.3966418886315926,-249.0905051124827,-84.86348824674127,-70.58302970206171,11.136325354555314,-42.61917573395226,35.58110335740163,0.5,0.2,-21.613247223711674,0.0,-20.837095473214717,11.645760346938172,11.645760346938172,0.0,1.0,1,10.568072717601279
