cost_multiplier,period,gross_bps,cost_bps,net_bps
1.0,train,760.4017624392334,1795.1623552696635,-1034.7605928304301
1.0,validation,407.96859257236304,202.22997206697428,205.73862050538875
1.0,test,-550.2508222152436,302.1781744978589,-852.4289967131025
1.0,all,618.1195327963529,2299.570501834497,-1681.4509690381442
1.5,train,760.4017624392334,2692.743532904495,-1932.3417704652618
1.5,validation,407.96859257236304,303.34495810046144,104.6236344719016
1.5,test,-550.2508222152436,453.26726174678834,-1003.5180839620319
1.5,all,618.1195327963529,3449.3557527517455,-2831.2362199553927
2.0,train,760.4017624392334,3590.324710539327,-2829.922948100094
2.0,validation,407.96859257236304,404.45994413394857,3.5086484384144683
2.0,test,-550.2508222152436,604.3563489957178,-1154.6071712109615
2.0,all,618.1195327963529,4599.141003668994,-3981.021470872641
3.0,train,760.4017624392334,5385.48706580899,-4625.085303369757
3.0,validation,407.96859257236304,606.6899162009229,-198.72132362855984
3.0,test,-550.2508222152436,906.5345234935767,-1456.7853457088204
3.0,all,618.1195327963529,6898.711505503491,-6280.591972707138
4.0,train,760.4017624392334,7180.649421078654,-6420.2476586394205
4.0,validation,407.96859257236304,808.9198882678971,-400.9512956955341
4.0,test,-550.2508222152436,1208.7126979914356,-1758.9635202066793
4.0,all,618.1195327963529,9198.282007337988,-8580.162474541636
