strategy,signal_view,shrink,center_days,entry_bps,exit_bps,max_hold_minutes,m2025_05_gross_bps,m2025_05_cost_bps,m2025_05_net_bps,m2025_05_trades,m2025_05_avg_abs_position,m2025_06_gross_bps,m2025_06_cost_bps,m2025_06_net_bps,m2025_06_trades,m2025_06_avg_abs_position,m2025_07_gross_bps,m2025_07_cost_bps,m2025_07_net_bps,m2025_07_trades,m2025_07_avg_abs_position,m2025_08_gross_bps,m2025_08_cost_bps,m2025_08_net_bps,m2025_08_trades,m2025_08_avg_abs_position,m2025_09_gross_bps,m2025_09_cost_bps,m2025_09_net_bps,m2025_09_trades,m2025_09_avg_abs_position,m2025_10_gross_bps,m2025_10_cost_bps,m2025_10_net_bps,m2025_10_trades,m2025_10_avg_abs_position,m2025_11_gross_bps,m2025_11_cost_bps,m2025_11_net_bps,m2025_11_trades,m2025_11_avg_abs_position,m2025_12_gross_bps,m2025_12_cost_bps,m2025_12_net_bps,m2025_12_trades,m2025_12_avg_abs_position,m2026_01_gross_bps,m2026_01_cost_bps,m2026_01_net_bps,m2026_01_trades,m2026_01_avg_abs_position,m2026_02_gross_bps,m2026_02_cost_bps,m2026_02_net_bps,m2026_02_trades,m2026_02_avg_abs_position,m2026_03_gross_bps,m2026_03_cost_bps,m2026_03_net_bps,m2026_03_trades,m2026_03_avg_abs_position,m2026_04_gross_bps,m2026_04_cost_bps,m2026_04_net_bps,m2026_04_trades,m2026_04_avg_abs_position,m2026_05_gross_bps,m2026_05_cost_bps,m2026_05_net_bps,m2026_05_trades,m2026_05_avg_abs_position,nov_gross_bps,nov_cost_bps,nov_net_bps,nov_trades,nov_avg_abs_position,dec_gross_bps,dec_cost_bps,dec_net_bps,dec_trades,dec_avg_abs_position,jan_gross_bps,jan_cost_bps,jan_net_bps,jan_trades,jan_avg_abs_position,feb_gross_bps,feb_cost_bps,feb_net_bps,feb_trades,feb_avg_abs_position,mar_gross_bps,mar_cost_bps,mar_net_bps,mar_trades,mar_avg_abs_position,apr_gross_bps,apr_cost_bps,apr_net_bps,apr_trades,apr_avg_abs_position,train_gross_bps,train_cost_bps,train_net_bps,train_trades,train_avg_abs_position,validation_gross_bps,validation_cost_bps,validation_net_bps,validation_trades,validation_avg_abs_position,test_gross_bps,test_cost_bps,test_net_bps,test_trades,test_avg_abs_position,train_fold_positive_rate,train_worst_month_bps,all_net_bps,train_selection_score
mid_cw3d_e75_x0_mh390,mid,0.0,3,75.0,0.0,390,195.00970244330063,131.8247440454728,63.184958397827856,32,0.7463253307202352,-174.04248372677955,135.21773003238164,-309.26021375916116,30,0.7303240740740741,218.65492393578378,87.54091464647996,131.11400928930385,26,0.5769139606541834,141.47532952256904,43.57643088486731,97.89889863770175,16,0.3481890730509515,173.04863283505335,105.6717353446356,67.37689749041772,32,0.7025168815224064,569.8492373061903,151.48568105821496,418.3635562479754,38,0.7246198568872988,444.57595120033665,184.11237127843847,260.46357992189814,32,0.8314530379230665,-51.793053950621726,104.12084164129467,-155.91389559191643,32,0.6427058823529411,-39.20594693425983,70.82938831161967,-110.03533524587952,24,0.5980177629038487,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,127.79366497148281,124.24463411421061,3.5490308572721023,36,0.7942178869432366,228.84993418160525,99.66873915898569,129.1811950226196,33,0.7609522640814824,0.0,0.0,0.0,0,0.0,444.57595120033665,184.11237127843847,260.46357992189814,32,0.8314530379230665,-51.793053950621726,104.12084164129467,-155.91389559191643,32,0.6427058823529411,-39.20594693425983,70.82938831161967,-110.03533524587952,24,0.5980177629038487,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,127.79366497148281,124.24463411421061,3.5490308572721023,36,0.7942178869432366,228.84993418160525,99.66873915898569,129.1811950226196,33,0.7609522640814824,1477.5722926315727,1014.3798372434052,463.1924553881675,262,0.6541003304295584,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,356.6435991530881,223.91337327319627,132.7302258798917,69,0.7779445311562012,0.6666666666666666,-309.26021375916116,808.1428625541928,241.69460172240065
micro_shrink_0.25_cw3d_e75_x0_mh390,micro_shrink_0.25,0.25,3,75.0,0.0,390,167.59367237477284,143.1363239838396,24.45734839093326,32,0.7455903968642822,-211.68660345926682,126.31139309949614,-337.9979965587629,28,0.6784979423868313,218.65492393578378,87.54091464647996,131.11400928930385,26,0.5769139606541834,141.47532952256904,43.57643088486731,97.89889863770175,16,0.3481890730509515,167.87744916479497,98.72154428276502,69.15590488202992,32,0.7129527317372621,544.0958302714272,170.4377827712768,373.6580475001503,36,0.7036001788908766,417.88229166747294,194.44681629388532,223.43547537358754,32,0.8310452630148158,-41.86341659369042,115.42637586136904,-157.28979245505946,32,0.6425882352941177,-39.20594693425983,70.82938831161967,-110.03533524587952,24,0.5980177629038487,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,124.53710206389523,123.88261703138389,0.6544850325112748,36,0.7943354095663415,228.84993418160525,99.66873915898569,129.1811950226196,33,0.7609522640814824,0.0,0.0,0.0,0,0.0,417.88229166747294,194.44681629388532,223.43547537358754,32,0.8310452630148158,-41.86341659369042,115.42637586136904,-157.28979245505946,32,0.6425882352941177,-39.20594693425983,70.82938831161967,-110.03533524587952,24,0.5980177629038487,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,124.53710206389523,123.88261703138389,0.6544850325112748,36,0.7943354095663415,228.84993418160525,99.66873915898569,129.1811950226196,33,0.7609522640814824,1364.8235299496037,1050.426970135599,314.39655981400483,258,0.647054807613534,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,353.3870362455005,223.55135619036955,129.83568005513087,69,0.7780045623724337,0.6666666666666666,-337.9979965587629,656.4524211552692,67.74065575931722
micro_shrink_0.25_cw3d_e60_x0_mh390,micro_shrink_0.25,0.25,3,60.0,0.0,390,192.37726559051538,131.1208885226329,61.256377067882525,32,0.7560019598236158,-177.36489228820318,131.93292904709415,-309.29782133529744,34,0.7475565843621399,188.70856501189692,159.21720853624953,29.4913564756474,36,0.795212135577151,78.36293421789264,63.47998834326188,14.882945874630776,22,0.5149171270718232,95.05036448577364,126.74772636320156,-31.69736187742793,36,0.8462860650705955,667.9341037031871,148.61230217927388,519.3218015239133,40,0.7927101967799642,338.5835484367128,223.0033921345482,115.5801563021645,36,0.9226586924017942,149.28098386069342,143.8219399615656,5.459043899127807,38,0.7561176470588236,-78.44628851292335,73.5372201240206,-151.98350863694392,26,0.6482172737804093,371.205903677474,126.57459607858756,244.63130759888637,36,0.8990351949993206,73.47475282446503,171.27855252113775,-97.8037996966728,38,0.8339405335527089,274.73170697159156,91.23323793143999,183.49846904015158,37,0.902196588538471,0.0,0.0,0.0,0,0.0,338.5835484367128,223.0033921345482,115.5801563021645,36,0.9226586924017942,149.28098386069342,143.8219399615656,5.459043899127807,38,0.7561176470588236,-78.44628851292335,73.5372201240206,-151.98350863694392,26,0.6482172737804093,371.205903677474,126.57459607858756,244.63130759888637,36,0.8990351949993206,73.47475282446503,171.27855252113775,-97.8037996966728,38,0.8339405335527089,274.73170697159156,91.23323793143999,183.49846904015158,37,0.902196588538471,1454.4865845055456,1201.4735952118483,253.01298929369727,300,0.7526557251699937,371.205903677474,126.57459607858756,244.63130759888637,36,0.8990351949993206,348.2064597960566,262.51179045257777,85.69466934347882,75,0.8673310121263057,0.6666666666666666,-309.29782133529744,583.3389662360624,27.217124629290424
micro_shrink_0.50_cw3d_e75_x0_mh390,micro_shrink_0.50,0.5,3,75.0,0.0,390,167.59367237477284,143.1363239838396,24.45734839093326,32,0.7455903968642822,-203.2191750507817,145.00007588987765,-348.2192509406593,28,0.6775977366255144,226.67017288647173,87.34393216313542,139.32624072333633,26,0.5751362882199573,126.81143833055408,60.14656313876838,66.66487519178573,16,0.3484346224677716,167.87744916479497,98.72154428276502,69.15590488202992,32,0.7129527317372621,544.0958302714272,170.4377827712768,373.6580475001503,36,0.7036001788908766,417.88229166747294,194.44681629388532,223.43547537358754,32,0.8310452630148158,-41.86341659369042,115.42637586136904,-157.28979245505946,32,0.6425882352941177,-39.20594693425983,70.82938831161967,-110.03533524587952,24,0.5980177629038487,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,124.53710206389523,123.88261703138389,0.6544850325112748,36,0.7943354095663415,228.84993418160525,99.66873915898569,129.1811950226196,33,0.7609522640814824,0.0,0.0,0.0,0,0.0,417.88229166747294,194.44681629388532,223.43547537358754,32,0.8310452630148158,-41.86341659369042,115.42637586136904,-157.28979245505946,32,0.6425882352941177,-39.20594693425983,70.82938831161967,-110.03533524587952,24,0.5980177629038487,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,124.53710206389523,123.88261703138389,0.6544850325112748,36,0.7943354095663415,228.84993418160525,99.66873915898569,129.1811950226196,33,0.7609522640814824,1366.6423161167618,1085.4888026965368,281.1535134202249,258,0.646781725333843,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,353.3870362455005,223.55135619036955,129.83568005513087,69,0.7780045623724337,0.6666666666666666,-348.2192509406593,623.2093747614894,23.32548532302117
mid_cw3d_e60_x0_mh390,mid,0.0,3,60.0,0.0,390,192.37726559051538,131.1208885226329,61.256377067882525,32,0.7560019598236158,-165.9757144511875,128.18590379629038,-294.161618247478,32,0.7478137860082305,197.806425706597,158.6355253460252,39.17090036057183,36,0.7947380895946907,78.36293421789264,63.47998834326188,14.882945874630776,22,0.5149171270718232,69.98122693265607,127.11777685010507,-57.136549917449,36,0.8478821362799264,666.8916225972143,148.6123384048348,518.2792841923796,40,0.7928220035778175,332.11870838742107,216.89479372366364,115.22391466375733,36,0.9223868424629604,112.63126219049902,151.59269339423406,-38.961431203735096,40,0.813764705882353,-59.12915974067623,73.87906326431772,-133.00822300499394,26,0.6483459904749646,397.4675413131656,125.15597845847263,272.311562854693,34,0.8865334963989673,73.47475282446503,171.27855252113775,-97.8037996966728,38,0.8339405335527089,274.73170697159156,91.23323793143999,183.49846904015158,37,0.902196588538471,0.0,0.0,0.0,0,0.0,332.11870838742107,216.89479372366364,115.22391466375733,36,0.9223868424629604,112.63126219049902,151.59269339423406,-38.961431203735096,40,0.813764705882353,-59.12915974067623,73.87906326431772,-133.00822300499394,26,0.6483459904749646,397.4675413131656,125.15597845847263,272.311562854693,34,0.8865334963989673,73.47475282446503,171.27855252113775,-97.8037996966728,38,0.8339405335527089,274.73170697159156,91.23323793143999,183.49846904015158,37,0.902196588538471,1425.064571430932,1199.5189716453656,225.54559978556625,300,0.7594964362762501,397.4675413131656,125.15597845847263,272.311562854693,34,0.8865334963989673,348.2064597960566,262.51179045257777,85.69466934347882,75,0.8673310121263057,0.5555555555555556,-294.161618247478,583.5518319837381,22.501561405809326
mid_cw3d_e75_x25_mh390,mid,0.0,3,75.0,25.0,390,201.22855313861265,194.553497345136,6.675055793476659,32,0.712640862322391,-111.76228346134742,138.3042882146856,-250.06657167603308,30,0.6085390946502057,212.59045484382176,107.89727622498256,104.69317861883924,26,0.5527376155487083,-6.597423111438516,40.0894947249033,-46.68691783634181,18,0.2850828729281768,175.10667209636566,119.57025293519281,55.53641916117277,32,0.5699201964395335,377.9242853155296,167.57854160696033,210.34574370856922,40,0.6688282647584973,527.2672443148351,244.2146632667051,283.05258104813004,36,0.7236645371754792,-75.95605538675443,102.72732028740069,-178.68337567415514,32,0.5616470588235294,-36.13380272412314,70.4881962507391,-106.62199897486228,24,0.5947998455399666,464.5250423234337,120.0714789910115,344.4535633324222,28,0.640304389183313,86.95430861475728,132.5569809275392,-45.602672312781976,36,0.7445058173698437,-110.21271111623321,105.17044504179111,-215.38315615802432,37,0.6524726960363235,0.0,0.0,0.0,0,0.0,527.2672443148351,244.2146632667051,283.05258104813004,36,0.7236645371754792,-75.95605538675443,102.72732028740069,-178.68337567415514,32,0.5616470588235294,-36.13380272412314,70.4881962507391,-106.62199897486228,24,0.5947998455399666,464.5250423234337,120.0714789910115,344.4535633324222,28,0.640304389183313,86.95430861475728,132.5569809275392,-45.602672312781976,36,0.7445058173698437,-110.21271111623321,105.17044504179111,-215.38315615802432,37,0.6524726960363235,1263.6676450255013,1185.4235308567054,78.24411416879583,270,0.5854747535432426,464.5250423234337,120.0714789910115,344.4535633324222,28,0.640304389183313,-23.258402501475928,237.7274259693303,-260.9858284708063,73,0.699483731540401,0.5555555555555556,-250.06657167603308,161.7118490304117,-53.739645017900685
micro_shrink_0.50_cw3d_e60_x0_mh390,micro_shrink_0.50,0.5,3,60.0,0.0,390,197.31537825835588,149.36518801338542,47.95019024497048,32,0.7558794708476237,-215.44828465644983,114.23714232207571,-329.6854269785256,32,0.7403549382716049,191.17765105046482,165.0825263370845,26.095124713380308,36,0.7895235837876274,78.36293421789264,63.47998834326188,14.882945874630776,22,0.5149171270718232,95.05036448577364,126.74772636320156,-31.69736187742793,36,0.8462860650705955,655.7745477028565,148.08287571293604,507.6916719899204,40,0.7915921288014311,323.17756434023795,210.01260661457115,113.16495772566662,36,0.9223868424629604,123.44531613777576,142.9488238097515,-19.503507671975797,38,0.7558823529411764,-78.44628851292335,73.5372201240206,-151.98350863694392,26,0.6482172737804093,368.0448478585241,127.62800380595505,240.41684405256905,36,0.8988993069710558,73.47475282446503,171.27855252113775,-97.8037996966728,38,0.8339405335527089,274.73170697159156,91.23323793143999,183.49846904015158,37,0.902196588538471,0.0,0.0,0.0,0,0.0,323.17756434023795,210.01260661457115,113.16495772566662,36,0.9223868424629604,123.44531613777576,142.9488238097515,-19.503507671975797,38,0.7558823529411764,-78.44628851292335,73.5372201240206,-151.98350863694392,26,0.6482172737804093,368.0448478585241,127.62800380595505,240.41684405256905,36,0.8988993069710558,73.47475282446503,171.27855252113775,-97.8037996966728,38,0.8339405335527089,274.73170697159156,91.23323793143999,183.49846904015158,37,0.902196588538471,1370.409183023984,1193.4940976402884,176.91508538369553,298,0.7510308856058331,368.0448478585241,127.62800380595505,240.41684405256905,36,0.8988993069710558,348.2064597960566,262.51179045257777,85.69466934347882,75,0.8673310121263057,0.5555555555555556,-329.6854269785256,503.0265987797434,-68.36388407964961
micro_shrink_0.75_cw3d_e75_x0_mh390,micro_shrink_0.75,0.75,3,75.0,0.0,390,114.00797537510776,154.97948580971706,-40.97151043460928,32,0.7487751102400784,-204.0465444303141,126.38510339079708,-330.4316478211112,28,0.6770833333333334,226.67017288647173,87.34393216313542,139.32624072333633,26,0.5751362882199573,126.81143833055408,60.14656313876838,66.66487519178573,16,0.3484346224677716,170.22755789652956,98.89894358306904,71.3286143134605,32,0.7131982811540822,530.6760116615906,166.669097540936,364.0069141206545,36,0.7030411449016101,389.1708051956932,195.2965136139786,193.87429158171463,34,0.851569933396765,-88.22259373072683,132.28892004721246,-220.51151377793929,34,0.6882352941176471,-39.20594693425983,70.82938831161967,-110.03533524587952,24,0.5980177629038487,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,124.53710206389523,123.88261703138389,0.6544850325112748,36,0.7943354095663415,228.84993418160525,99.66873915898569,129.1811950226196,33,0.7609522640814824,0.0,0.0,0.0,0,0.0,389.1708051956932,195.2965136139786,193.87429158171463,34,0.851569933396765,-88.22259373072683,132.28892004721246,-220.51151377793929,34,0.6882352941176471,-39.20594693425983,70.82938831161967,-110.03533524587952,24,0.5980177629038487,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,124.53710206389523,123.88261703138389,0.6544850325112748,36,0.7943354095663415,228.84993418160525,99.66873915898569,129.1811950226196,33,0.7609522640814824,1226.088876250646,1092.8379475992338,133.25092865141244,262,0.6544007209372183,321.1348506040235,108.91466931788989,212.2201812861336,28,0.7324364723467862,353.3870362455005,223.55135619036955,129.83568005513087,69,0.7780045623724337,0.5555555555555556,-330.4316478211112,475.3067899926769,-114.74908937417764
micro_shrink_0.75_cw3d_e100_x25_mh390,micro_shrink_0.75,0.75,3,100.0,25.0,390,45.13255479643874,135.14263853351304,-90.01008373707431,26,0.5927241548260657,-24.95386246644138,100.83736121059947,-125.79122367704082,18,0.41473765432098764,258.68524877269647,63.60314933277011,195.0820994399264,18,0.3980801137710358,-178.84774830911886,28.391477738205122,-207.239226047324,10,0.16206261510128914,221.21567035237712,92.52024013636874,128.69543021600836,22,0.44739103744628606,66.21032959763795,101.4023515622102,-35.19202196457226,24,0.44890429338103754,644.6430746456944,165.60161219548772,479.0414624502065,24,0.5636808481718092,-116.91242392494416,114.53591094985491,-231.44833487479912,24,0.5075294117647059,-6.699969181820364,70.1473195640237,-76.84728874584407,24,0.5922255116488608,278.8581931013301,70.9127902456801,207.94540285565003,22,0.5233047968473977,104.965954254439,130.29230703134493,-25.326352776906017,32,0.7197085438946997,-269.43633279508106,38.00252000782751,-307.43885280290857,23,0.5430114124432446,0.0,0.0,0.0,0,0.0,644.6430746456944,165.60161219548772,479.0414624502065,24,0.5636808481718092,-116.91242392494416,114.53591094985491,-231.44833487479912,24,0.5075294117647059,-6.699969181820364,70.1473195640237,-76.84728874584407,24,0.5922255116488608,278.8581931013301,70.9127902456801,207.94540285565003,22,0.5233047968473977,104.965954254439,130.29230703134493,-25.326352776906017,32,0.7197085438946997,-269.43633279508106,38.00252000782751,-307.43885280290857,23,0.5430114124432446,908.4728742825199,872.182061223033,36.29081305948693,190,0.4569212703787651,278.8581931013301,70.9127902456801,207.94540285565003,22,0.5233047968473977,-164.47037854064206,168.29482703917245,-332.76520557981456,55,0.6332693000360188,0.3333333333333333,-231.44833487479912,-88.5289896646776,-119.29888848232537
micro_shrink_0.75_cw3d_e100_x40_mh390,micro_shrink_0.75,0.75,3,100.0,40.0,390,17.8963176842295,130.55180494097732,-112.65548725674778,26,0.5788829005389515,1.844440234508582,75.78947810964321,-73.94503787513463,18,0.3265174897119342,210.79320248893475,63.56153382161246,147.2316686673223,18,0.3720075847357194,-113.27980146524474,29.730985429109424,-143.01078689435417,10,0.10755064456721915,189.162798348006,86.03521862402802,103.12757972397793,22,0.44370779619398404,48.2384537507663,127.00774295905576,-78.76928920828946,24,0.43414579606440074,612.0533393158566,158.9145879590826,453.13875135677404,24,0.5533505504961261,-116.91242392494416,114.53591094985491,-231.44833487479912,24,0.5075294117647059,20.767191419963638,82.89466611716622,-62.12747469720255,24,0.5306989316514352,296.20929146704,58.57989867785588,237.62939278918412,22,0.5071341214838972,103.821602499643,145.65859981601548,-41.836997316372496,32,0.7114819602773534,-152.92305748021207,45.25229501610932,-198.17535249632138,23,0.4938029206037551,0.0,0.0,0.0,0,0.0,612.0533393158566,158.9145879590826,453.13875135677404,24,0.5533505504961261,-116.91242392494416,114.53591094985491,-231.44833487479912,24,0.5075294117647059,20.767191419963638,82.89466611716622,-62.12747469720255,24,0.5306989316514352,296.20929146704,58.57989867785588,237.62939278918412,22,0.5071341214838972,103.821602499643,145.65859981601548,-41.836997316372496,32,0.7114819602773534,-152.92305748021207,45.25229501610932,-198.17535249632138,23,0.4938029206037551,870.5635178520765,869.0219289105298,1.5415889415465802,190,0.4271689560064447,296.20929146704,58.57989867785588,237.62939278918412,22,0.5071341214838972,-49.10145498056906,190.9108948321248,-240.01234981269388,55,0.604994597190539,0.3333333333333333,-231.44833487479912,-0.8413680819631679,-137.65681524546594
