signal_view,center_days,entry_bps,rules,valid_rules,median_train_net_bps,p25_train_net_bps,median_validation_net_bps,median_test_net_bps,positive_test_rate,train_island_score
mid,3,75.0,9,2,-404.9644934432868,-891.4113185349398,296.69024887891095,-206.49892641685827,0.2222222222222222,-550.6701527107567
mid,3,100.0,9,0,-281.6860950387727,-596.2127442077152,253.2033388275949,-209.37284640594905,0.0,-579.7924671426304
micro_shrink_0.75,3,75.0,9,1,-430.33287265642315,-793.6091956338822,285.15340497541257,-252.54007962777524,0.2222222222222222,-677.1374704733643
micro_shrink_0.25,3,75.0,9,1,-439.7925076428577,-788.4812357206564,305.1644812563844,-202.7318037900768,0.2222222222222222,-684.0331255031858
micro_shrink_0.50,3,75.0,9,1,-488.9565669466361,-734.265455066683,283.05616284368284,-293.1241588806436,0.2222222222222222,-706.0892944799775
micro,3,100.0,9,0,-416.12402369880647,-597.5824891873199,239.20920793492166,-331.32535493824014,0.0,-714.9152682924664
micro_shrink_0.75,3,100.0,9,0,-396.46789877517074,-654.2581880961358,235.60625726196326,-332.76520557981456,0.0,-723.5969928232387
micro_shrink_0.50,3,100.0,9,0,-408.10810670889936,-678.9529414656715,251.07782481399738,-314.97628374829293,0.0,-747.5845774417351
micro,3,75.0,9,1,-564.091084820527,-953.8756967278553,246.91378267696936,-272.70694643557977,0.2222222222222222,-891.0289331844547
micro_shrink_0.25,3,100.0,9,0,-533.2362521334348,-827.2194473959356,253.2033388275949,-204.9701258376608,0.0,-946.8459758314027
micro_shrink_0.25,3,60.0,9,1,-727.2061813043402,-1036.8609751441563,235.07102007581847,-104.4710428046279,0.4444444444444444,-1095.6366688764183
mid,3,60.0,9,1,-702.6158396532801,-1141.8082155176871,251.82083109255782,-66.45602711885874,0.3333333333333333,-1123.5199474121237
micro_shrink_0.75,3,60.0,9,1,-788.3116177157601,-1249.2690817012867,240.41684405256905,-209.27396105369164,0.2222222222222222,-1262.9461585664035
micro,3,60.0,9,1,-811.0385510724476,-1262.2373030098986,240.41684405256905,-172.0878763174761,0.2222222222222222,-1292.157202577397
micro_shrink_0.50,3,60.0,9,1,-872.4465265524412,-1156.686965523554,225.27482139401926,-233.57304218347562,0.2222222222222222,-1300.7900093142182
