trial_id,pair_or_basket,method,sample,exit_reason,trades,gross_bps,cost_bps,net_bps
0,XLK-NVDA,baseline,train,eod,44,60.45235615315626,181.07413101158983,-120.62177485843358
0,XLK-NVDA,baseline,train,max_hold,99,-60.62237507931018,283.2438341117056,-343.86620919101586
0,XLK-NVDA,baseline,train,reversion,49,397.2972863916732,260.13064552614696,137.16664086552626
0,XLK-NVDA,baseline,train,stop_loss,79,-186.4993199036603,277.8507783444286,-464.35009824808895
0,XLK-NVDA,baseline,validation,eod,10,22.870185918802388,67.05393247614896,-44.183746557346566
0,XLK-NVDA,baseline,validation,max_hold,28,15.763578507123805,55.79797033591,-40.034391828786205
0,XLK-NVDA,baseline,validation,reversion,12,164.49385360807892,43.76270807213204,120.73114553594687
0,XLK-NVDA,baseline,test,eod,28,-29.553377247457068,114.65902467525463,-144.21240192271165
0,XLK-NVDA,baseline,test,max_hold,74,-33.0371010037544,161.38266536722875,-194.41976637098315
0,XLK-NVDA,baseline,test,reversion,42,461.50148723329517,215.21704820544798,246.28443902784718
0,XLK-NVDA,baseline,test,stop_loss,36,-129.22164127543058,107.96203405903226,-237.1836753344628
1,XLK-NVDA,baseline,train,eod,44,60.45235615315626,181.07413101158983,-120.62177485843358
1,XLK-NVDA,baseline,train,max_hold,102,-71.20935581520722,296.5584586556044,-367.76781447081163
1,XLK-NVDA,baseline,train,reversion,49,397.2972863916732,260.13064552614696,137.16664086552626
1,XLK-NVDA,baseline,validation,eod,10,22.870185918802388,67.05393247614896,-44.183746557346566
1,XLK-NVDA,baseline,validation,max_hold,28,15.763578507123805,55.79797033591,-40.034391828786205
1,XLK-NVDA,baseline,validation,reversion,12,164.49385360807892,43.76270807213204,120.73114553594687
1,XLK-NVDA,baseline,test,eod,28,-29.553377247457068,114.65902467525463,-144.21240192271165
1,XLK-NVDA,baseline,test,max_hold,75,-33.64568741848228,175.94692062852621,-209.59260804700844
1,XLK-NVDA,baseline,test,reversion,42,461.50148723329517,215.21704820544798,246.28443902784718
2,XLK-NVDA,baseline,train,eod,25,32.62654741740019,137.1748838931329,-104.54833647573273
2,XLK-NVDA,baseline,train,max_hold,74,-13.411860438191232,149.0292378848041,-162.44109832299532
2,XLK-NVDA,baseline,train,reversion,19,139.2541182618618,102.14592378713154,37.10819447473026
2,XLK-NVDA,baseline,train,stop_loss,79,-186.4993199036603,277.8507783444286,-464.35009824808895
2,XLK-NVDA,baseline,validation,eod,7,24.082401875685047,41.561281797083076,-17.478879921398025
2,XLK-NVDA,baseline,validation,max_hold,17,-56.072780812127895,59.11124092116908,-115.184021733297
2,XLK-NVDA,baseline,validation,reversion,4,40.797984752974,3.503589090609932,37.294395662364074
2,XLK-NVDA,baseline,test,eod,20,-18.068203437739374,93.75052258266058,-111.81872602039994
2,XLK-NVDA,baseline,test,max_hold,55,14.482394607512793,133.41585901749772,-118.93346440998491
2,XLK-NVDA,baseline,test,reversion,10,89.11972257123962,45.707594598503235,43.412127972736364
2,XLK-NVDA,baseline,test,stop_loss,36,-129.22164127543058,107.96203405903226,-237.1836753344628
3,XLK-NVDA,baseline,train,eod,25,43.454769455233965,143.72610449288027,-100.27133503764631
3,XLK-NVDA,baseline,train,max_hold,76,-11.59483838447393,173.37826669382474,-184.9731050782987
3,XLK-NVDA,baseline,train,reversion,19,139.2541182618618,102.14592378713154,37.10819447473026
3,XLK-NVDA,baseline,validation,eod,7,24.082401875685047,41.561281797083076,-17.478879921398025
3,XLK-NVDA,baseline,validation,max_hold,17,-56.072780812127895,59.11124092116908,-115.184021733297
3,XLK-NVDA,baseline,validation,reversion,4,40.797984752974,3.503589090609932,37.294395662364074
