sample,horizon_min,signal_decile,mean_future_return_bps,count
train,1,0,0.0322569165662871,2243
train,1,1,0.12078807969585792,2242
train,1,2,-0.18555685138896047,2242
train,1,3,-0.15785250917276344,2242
train,1,4,-0.004273570602397994,2243
train,1,5,-0.10529897479372886,2242
train,1,6,-0.020665774289122387,2242
train,1,7,-0.15086537982395043,2242
train,1,8,0.0109971077873208,2242
train,1,9,0.09778120754758686,2243
train,5,0,0.3921495911100788,2243
train,5,1,-0.21483129869628928,2242
train,5,2,-0.4627471543525661,2242
train,5,3,-0.49211513524269695,2242
train,5,4,-0.4650288976864541,2243
train,5,5,-0.6560022498404118,2242
train,5,6,-0.2712810492255554,2242
train,5,7,-0.2749304694269674,2242
train,5,8,-0.036591792366079116,2242
train,5,9,0.7119957660878322,2243
train,15,0,0.7930470987324325,2243
train,15,1,-1.17144475143886,2242
train,15,2,-0.8571599951190995,2242
train,15,3,-0.8778001933351597,2242
train,15,4,-1.8422727104488292,2243
train,15,5,-1.0426694462231811,2242
train,15,6,-1.0340263084942858,2242
train,15,7,-0.7334144912994481,2242
train,15,8,-0.7254610522876187,2242
train,15,9,2.04205426257888,2243
train,30,0,1.7167192716695956,2243
train,30,1,-3.7446234078987533,2242
train,30,2,-0.6130158316345172,2242
train,30,3,-1.9278599307190993,2242
train,30,4,-3.3587284671263498,2243
train,30,5,-2.3677801919245556,2242
train,30,6,-1.793138877605831,2242
train,30,7,-0.8866295841089336,2242
train,30,8,-2.167102182006117,2242
train,30,9,4.029597001686719,2243
train,60,0,4.931219720317318,2243
train,60,1,-11.51532682748248,2242
train,60,2,0.7848649364114262,2242
train,60,3,-5.0259461699891395,2242
train,60,4,-4.415819162942031,2243
train,60,5,-3.7096936181249762,2242
train,60,6,-2.0459728834986506,2242
train,60,7,-2.87286365637322,2242
train,60,8,-5.840321849011542,2242
train,60,9,8.125453781336839,2243
validation,1,0,-0.4476924083197586,710
validation,1,1,0.10724092415404891,710
validation,1,2,-0.02109891492692404,710
validation,1,3,0.006654494487527128,710
validation,1,4,-0.2572526276772956,710
validation,1,5,0.29951497920957254,710
validation,1,6,0.26366648766625445,710
validation,1,7,0.16033688225559758,710
validation,1,8,-0.043678598395572574,710
validation,1,9,-0.6599186831649522,710
validation,5,0,-1.4717034095725483,710
validation,5,1,0.3962308378382812,710
validation,5,2,-1.3957904931241707,710
validation,5,3,0.28956676361373335,710
validation,5,4,-1.0950191475533295,710
validation,5,5,0.4575477905528543,710
validation,5,6,2.1477597991131647,710
validation,5,7,0.23721627593688002,710
validation,5,8,-0.04162406027489451,710
validation,5,9,-2.7940257527394627,710
validation,15,0,-4.174588674469021,710
validation,15,1,0.7610571620948288,710
validation,15,2,-2.8390604015257983,710
validation,15,3,0.2330855468802332,710
validation,15,4,-2.79901901248621,710
validation,15,5,-0.3486029718790178,710
validation,15,6,7.042044987031954,710
validation,15,7,0.2964796770188866,710
validation,15,8,-0.5963462842265393,710
validation,15,9,-7.298601787913343,710
validation,30,0,-6.095226044633998,710
validation,30,1,-1.3463223775755748,710
validation,30,2,-4.1473565726728765,710
validation,30,3,-1.5172029786034218,710
validation,30,4,-4.452791456001273,710
validation,30,5,-0.8430502925785821,710
validation,30,6,13.590173488413276,710
validation,30,7,2.4955160895838064,710
validation,30,8,-4.470372241485916,710
validation,30,9,-12.79052531538235,710
validation,60,0,-8.059774287282874,710
validation,60,1,-10.528654682175997,710
validation,60,2,-4.3576067489330335,710
validation,60,3,-9.797643422517043,710
validation,60,4,0.4714642467290806,710
validation,60,5,3.7230002896686774,710
validation,60,6,15.172425716098871,710
validation,60,7,5.273632869554607,710
validation,60,8,-12.78573059357109,710
validation,60,9,-20.504819426901076,710
test,1,0,0.36771439150240437,1625
test,1,1,0.021184058170898894,1624
test,1,2,-0.07813838065823885,1625
test,1,3,-0.10968540901293194,1624
test,1,4,0.17616351196095953,1625
test,1,5,0.18809853250219283,1624
test,1,6,0.28778689669555696,1623
test,1,7,0.14361354915275426,1625
test,1,8,-0.04295223956720246,1624
test,1,9,-0.20021433980182646,1625
test,5,0,1.8755331484060962,1625
test,5,1,0.1212892923350281,1624
test,5,2,-0.4731637629548949,1625
test,5,3,-0.6338227425137712,1624
test,5,4,1.0533161063271954,1625
test,5,5,0.3398375470648437,1624
test,5,6,1.961743639238458,1619
test,5,7,0.6853321567318624,1625
test,5,8,-0.08958180591252471,1624
test,5,9,-0.9954180257792062,1625
test,15,0,4.640079495440606,1625
test,15,1,-0.6415629920647618,1624
test,15,2,-0.026155632271016516,1625
test,15,3,-1.9928623762304625,1624
test,15,4,2.33251927132491,1625
test,15,5,1.0883138167117403,1614
test,15,6,5.118081058171581,1619
test,15,7,3.1490736458355095,1625
test,15,8,0.6017347771328841,1624
test,15,9,-2.728245322737347,1625
test,30,0,8.460822559262658,1625
test,30,1,-2.4621432830743153,1624
test,30,2,0.9401638133593335,1625
test,30,3,-3.9980243766382,1624
test,30,4,3.2942240891217986,1625
test,30,5,2.5821947485713688,1599
test,30,6,8.855975473521427,1619
test,30,7,8.321348730760734,1625
test,30,8,1.4868414878496095,1624
test,30,9,-4.522028010503384,1625
test,60,0,16.06537877795089,1625
test,60,1,-5.435388045961675,1624
test,60,2,1.3201294243097879,1625
test,60,3,-8.840635115387782,1624
test,60,4,5.8454574334577405,1624
test,60,5,9.12247668313241,1570
test,60,6,15.578569783769655,1619
test,60,7,17.062939178789513,1625
test,60,8,1.8263027944306995,1624
test,60,9,-6.739154106703003,1625
